 Mv1      Mv2        Mvp         lamL         Omega        protonSI      sv-WW          Br(H->v1v1)     Br(H->v2v2)     Br(H->v-v+)      Br(H->AA)      Width_H   
111.00    112.00    112.00     -5.000E+00     4.981E-05     1.759E-05     7.707E-23      0.000E+00      0.000E+00        0.000E+00       3.210E-01      6.270E-03
112.00    113.00    113.00     -5.000E+00     4.920E-05     1.728E-05     7.546E-23      0.000E+00      0.000E+00        0.000E+00       3.132E-01      6.199E-03
113.00    114.00    114.00     -5.000E+00     4.855E-05     1.698E-05     7.361E-23      0.000E+00      0.000E+00        0.000E+00       3.056E-01      6.132E-03
114.00    115.00    115.00     -5.000E+00     4.768E-05     1.668E-05     7.148E-23      0.000E+00      0.000E+00        0.000E+00       2.983E-01      6.067E-03
115.00    116.00    116.00     -5.000E+00     4.635E-05     1.640E-05     6.893E-23      0.000E+00      0.000E+00        0.000E+00       2.911E-01      6.006E-03
116.00    117.00    117.00     -5.000E+00     4.423E-05     1.612E-05     6.467E-23      0.000E+00      0.000E+00        0.000E+00       2.841E-01      5.947E-03
117.00    118.00    118.00     -5.000E+00     4.106E-05     1.584E-05     5.972E-23      0.000E+00      0.000E+00        0.000E+00       2.772E-01      5.891E-03
118.00    119.00    119.00     -5.000E+00     3.651E-05     1.558E-05     5.272E-23      0.000E+00      0.000E+00        0.000E+00       2.706E-01      5.837E-03
119.00    120.00    120.00     -5.000E+00     3.061E-05     1.532E-05     4.362E-23      0.000E+00      0.000E+00        0.000E+00       2.641E-01      5.786E-03
120.00    121.00    121.00     -5.000E+00     2.385E-05     1.507E-05     3.317E-23      0.000E+00      0.000E+00        0.000E+00       2.578E-01      5.737E-03
121.00    122.00    122.00     -5.000E+00     1.713E-05     1.482E-05     2.189E-23      0.000E+00      0.000E+00        0.000E+00       2.517E-01      5.690E-03
122.00    123.00    123.00     -5.000E+00     1.135E-05     1.458E-05     1.368E-23      0.000E+00      0.000E+00        0.000E+00       2.457E-01      5.645E-03
123.00    124.00    124.00     -5.000E+00     6.983E-06     1.435E-05     9.378E-24      0.000E+00      0.000E+00        0.000E+00       2.399E-01      5.601E-03
124.00    125.00    125.00     -5.000E+00     4.085E-06     1.412E-05     4.463E-24      0.000E+00      0.000E+00        0.000E+00       2.342E-01      5.560E-03
125.00    126.00    126.00     -5.000E+00     2.382E-06     1.390E-05     1.420E-24      0.000E+00      0.000E+00        0.000E+00       2.287E-01      5.520E-03
126.00    127.00    127.00     -5.000E+00     1.751E-06     1.368E-05     4.648E-23      0.000E+00      0.000E+00        0.000E+00       2.234E-01      5.482E-03
127.00    128.00    128.00     -5.000E+00     1.555E-06     1.346E-05     5.039E-23      0.000E+00      0.000E+00        0.000E+00       2.182E-01      5.446E-03
128.00    129.00    129.00     -5.000E+00     1.461E-06     1.326E-05     5.154E-23      0.000E+00      0.000E+00        0.000E+00       2.131E-01      5.411E-03
129.00    130.00    130.00     -5.000E+00     1.412E-06     1.305E-05     5.180E-23      0.000E+00      0.000E+00        0.000E+00       2.082E-01      5.377E-03
130.00    131.00    131.00     -5.000E+00     1.390E-06     1.285E-05     5.165E-23      0.000E+00      0.000E+00        0.000E+00       2.034E-01      5.345E-03
131.00    132.00    132.00     -5.000E+00     1.385E-06     1.266E-05     5.130E-23      0.000E+00      0.000E+00        0.000E+00       1.987E-01      5.313E-03
132.00    133.00    133.00     -5.000E+00     1.391E-06     1.247E-05     5.084E-23      0.000E+00      0.000E+00        0.000E+00       1.941E-01      5.283E-03
133.00    134.00    134.00     -5.000E+00     1.407E-06     1.228E-05     5.030E-23      0.000E+00      0.000E+00        0.000E+00       1.897E-01      5.255E-03
134.00    135.00    135.00     -5.000E+00     1.429E-06     1.210E-05     4.973E-23      0.000E+00      0.000E+00        0.000E+00       1.854E-01      5.227E-03
135.00    136.00    136.00     -5.000E+00     1.457E-06     1.193E-05     4.914E-23      0.000E+00      0.000E+00        0.000E+00       1.812E-01      5.200E-03
136.00    137.00    137.00     -5.000E+00     1.490E-06     1.175E-05     4.853E-23      0.000E+00      0.000E+00        0.000E+00       1.772E-01      5.174E-03
137.00    138.00    138.00     -5.000E+00     1.527E-06     1.158E-05     4.791E-23      0.000E+00      0.000E+00        0.000E+00       1.732E-01      5.150E-03
138.00    139.00    139.00     -5.000E+00     1.569E-06     1.142E-05     4.730E-23      0.000E+00      0.000E+00        0.000E+00       1.694E-01      5.126E-03
139.00    140.00    140.00     -5.000E+00     1.614E-06     1.125E-05     4.669E-23      0.000E+00      0.000E+00        0.000E+00       1.656E-01      5.103E-03
140.00    141.00    141.00     -5.000E+00     1.662E-06     1.109E-05     4.608E-23      0.000E+00      0.000E+00        0.000E+00       1.620E-01      5.081E-03
141.00    142.00    142.00     -5.000E+00     1.714E-06     1.094E-05     4.548E-23      0.000E+00      0.000E+00        0.000E+00       1.584E-01      5.059E-03
142.00    143.00    143.00     -5.000E+00     1.769E-06     1.079E-05     4.489E-23      0.000E+00      0.000E+00        0.000E+00       1.550E-01      5.039E-03
143.00    144.00    144.00     -5.000E+00     1.827E-06     1.064E-05     4.431E-23      0.000E+00      0.000E+00        0.000E+00       1.516E-01      5.019E-03
144.00    145.00    145.00     -5.000E+00     1.889E-06     1.049E-05     4.373E-23      0.000E+00      0.000E+00        0.000E+00       1.483E-01      4.999E-03
145.00    146.00    146.00     -5.000E+00     1.953E-06     1.035E-05     4.317E-23      0.000E+00      0.000E+00        0.000E+00       1.452E-01      4.981E-03
146.00    147.00    147.00     -5.000E+00     2.020E-06     1.021E-05     4.261E-23      0.000E+00      0.000E+00        0.000E+00       1.421E-01      4.963E-03
147.00    148.00    148.00     -5.000E+00     2.091E-06     1.007E-05     4.207E-23      0.000E+00      0.000E+00        0.000E+00       1.391E-01      4.945E-03
148.00    149.00    149.00     -5.000E+00     2.164E-06     9.935E-06     4.153E-23      0.000E+00      0.000E+00        0.000E+00       1.361E-01      4.929E-03
149.00    150.00    150.00     -5.000E+00     2.241E-06     9.803E-06     4.101E-23      0.000E+00      0.000E+00        0.000E+00       1.333E-01      4.912E-03
150.00    151.00    151.00     -5.000E+00     2.321E-06     9.673E-06     4.049E-23      0.000E+00      0.000E+00        0.000E+00       1.305E-01      4.897E-03
151.00    152.00    152.00     -5.000E+00     2.404E-06     9.546E-06     3.998E-23      0.000E+00      0.000E+00        0.000E+00       1.278E-01      4.882E-03
152.00    153.00    153.00     -5.000E+00     2.490E-06     9.422E-06     3.948E-23      0.000E+00      0.000E+00        0.000E+00       1.252E-01      4.867E-03
153.00    154.00    154.00     -5.000E+00     2.580E-06     9.300E-06     3.899E-23      0.000E+00      0.000E+00        0.000E+00       1.226E-01      4.853E-03
154.00    155.00    155.00     -5.000E+00     2.672E-06     9.180E-06     3.852E-23      0.000E+00      0.000E+00        0.000E+00       1.201E-01      4.839E-03
155.00    156.00    156.00     -5.000E+00     2.769E-06     9.063E-06     3.804E-23      0.000E+00      0.000E+00        0.000E+00       1.177E-01      4.826E-03
156.00    157.00    157.00     -5.000E+00     2.868E-06     8.948E-06     3.758E-23      0.000E+00      0.000E+00        0.000E+00       1.153E-01      4.813E-03
157.00    158.00    158.00     -5.000E+00     2.972E-06     8.835E-06     3.713E-23      0.000E+00      0.000E+00        0.000E+00       1.130E-01      4.800E-03
158.00    159.00    159.00     -5.000E+00     3.079E-06     8.724E-06     3.668E-23      0.000E+00      0.000E+00        0.000E+00       1.107E-01      4.788E-03
159.00    160.00    160.00     -5.000E+00     3.189E-06     8.615E-06     3.624E-23      0.000E+00      0.000E+00        0.000E+00       1.086E-01      4.776E-03
160.00    161.00    161.00     -5.000E+00     3.304E-06     8.509E-06     3.581E-23      0.000E+00      0.000E+00        0.000E+00       1.064E-01      4.765E-03
161.00    162.00    162.00     -5.000E+00     3.422E-06     8.404E-06     3.539E-23      0.000E+00      0.000E+00        0.000E+00       1.043E-01      4.754E-03
162.00    163.00    163.00     -5.000E+00     3.544E-06     8.301E-06     3.498E-23      0.000E+00      0.000E+00        0.000E+00       1.023E-01      4.743E-03
163.00    164.00    164.00     -5.000E+00     3.670E-06     8.200E-06     3.457E-23      0.000E+00      0.000E+00        0.000E+00       1.003E-01      4.733E-03
164.00    165.00    165.00     -5.000E+00     3.801E-06     8.101E-06     3.417E-23      0.000E+00      0.000E+00        0.000E+00       9.842E-02      4.722E-03
165.00    166.00    166.00     -5.000E+00     3.936E-06     8.004E-06     3.378E-23      0.000E+00      0.000E+00        0.000E+00       9.654E-02      4.713E-03
166.00    167.00    167.00     -5.000E+00     4.075E-06     7.908E-06     3.339E-23      0.000E+00      0.000E+00        0.000E+00       9.471E-02      4.703E-03
167.00    168.00    168.00     -5.000E+00     4.219E-06     7.814E-06     3.301E-23      0.000E+00      0.000E+00        0.000E+00       9.293E-02      4.694E-03
168.00    169.00    169.00     -5.000E+00     4.367E-06     7.722E-06     3.267E-23      0.000E+00      0.000E+00        0.000E+00       9.119E-02      4.685E-03
169.00    170.00    170.00     -5.000E+00     4.519E-06     7.631E-06     3.230E-23      0.000E+00      0.000E+00        0.000E+00       8.950E-02      4.676E-03
170.00    171.00    171.00     -5.000E+00     4.677E-06     7.542E-06     3.195E-23      0.000E+00      0.000E+00        0.000E+00       8.784E-02      4.668E-03
171.00    172.00    172.00     -5.000E+00     4.839E-06     7.455E-06     3.160E-23      0.000E+00      0.000E+00        0.000E+00       8.623E-02      4.659E-03
