 Mv1      Mv2        Mvp         lamL         Omega        protonSI      sv-WW          Br(H->v1v1)     Br(H->v2v2)     Br(H->v-v+)      Br(H->AA)      Width_H   
105.00    106.00    106.00     5.000E+00     4.972E-05     1.964E-05     9.840E-23      0.000E+00      0.000E+00        0.000E+00       3.108E-01      6.178E-03
106.00    107.00    107.00     5.000E+00     4.922E-05     1.927E-05     9.592E-23      0.000E+00      0.000E+00        0.000E+00       3.014E-01      6.095E-03
107.00    108.00    108.00     5.000E+00     4.868E-05     1.892E-05     9.357E-23      0.000E+00      0.000E+00        0.000E+00       2.923E-01      6.016E-03
108.00    109.00    109.00     5.000E+00     4.815E-05     1.857E-05     9.132E-23      0.000E+00      0.000E+00        0.000E+00       2.834E-01      5.941E-03
109.00    110.00    110.00     5.000E+00     4.769E-05     1.823E-05     8.917E-23      0.000E+00      0.000E+00        0.000E+00       2.747E-01      5.870E-03
110.00    111.00    111.00     5.000E+00     4.729E-05     1.791E-05     8.707E-23      0.000E+00      0.000E+00        0.000E+00       2.663E-01      5.803E-03
111.00    112.00    112.00     5.000E+00     4.686E-05     1.759E-05     8.510E-23      0.000E+00      0.000E+00        0.000E+00       2.582E-01      5.739E-03
112.00    113.00    113.00     5.000E+00     4.634E-05     1.728E-05     8.323E-23      0.000E+00      0.000E+00        0.000E+00       2.502E-01      5.679E-03
113.00    114.00    114.00     5.000E+00     4.577E-05     1.698E-05     8.105E-23      0.000E+00      0.000E+00        0.000E+00       2.426E-01      5.621E-03
114.00    115.00    115.00     5.000E+00     4.493E-05     1.668E-05     7.858E-23      0.000E+00      0.000E+00        0.000E+00       2.351E-01      5.566E-03
115.00    116.00    116.00     5.000E+00     4.356E-05     1.640E-05     7.496E-23      0.000E+00      0.000E+00        0.000E+00       2.279E-01      5.514E-03
116.00    117.00    117.00     5.000E+00     4.142E-05     1.612E-05     7.063E-23      0.000E+00      0.000E+00        0.000E+00       2.208E-01      5.464E-03
117.00    118.00    118.00     5.000E+00     3.814E-05     1.584E-05     6.464E-23      0.000E+00      0.000E+00        0.000E+00       2.140E-01      5.417E-03
118.00    119.00    119.00     5.000E+00     3.351E-05     1.558E-05     5.669E-23      0.000E+00      0.000E+00        0.000E+00       2.074E-01      5.372E-03
119.00    120.00    120.00     5.000E+00     2.764E-05     1.532E-05     4.632E-23      0.000E+00      0.000E+00        0.000E+00       2.010E-01      5.329E-03
120.00    121.00    121.00     5.000E+00     2.112E-05     1.507E-05     3.464E-23      0.000E+00      0.000E+00        0.000E+00       1.948E-01      5.288E-03
121.00    122.00    122.00     5.000E+00     1.487E-05     1.482E-05     2.237E-23      0.000E+00      0.000E+00        0.000E+00       1.888E-01      5.249E-03
122.00    123.00    123.00     5.000E+00     9.673E-06     1.458E-05     1.469E-23      0.000E+00      0.000E+00        0.000E+00       1.830E-01      5.212E-03
123.00    124.00    124.00     5.000E+00     5.860E-06     1.435E-05     9.258E-24      0.000E+00      0.000E+00        0.000E+00       1.774E-01      5.176E-03
124.00    125.00    125.00     5.000E+00     3.387E-06     1.412E-05     4.378E-24      0.000E+00      0.000E+00        0.000E+00       1.719E-01      5.142E-03
125.00    126.00    126.00     5.000E+00     1.954E-06     1.390E-05     1.377E-24      0.000E+00      0.000E+00        0.000E+00       1.667E-01      5.109E-03
