 Mv1      Mv2        Mvp         lamL         Omega        protonSI      sv-WW          Br(H->v1v1)     Br(H->v2v2)     Br(H->v-v+)      Br(H->AA)      Width_H   
110.00    111.00    111.00     -1.000E-03     2.155E-03     7.163E-13     1.840E-24      0.000E+00      0.000E+00        0.000E+00       2.390E-03      4.268E-03
111.00    112.00    112.00     -1.000E-03     2.195E-03     7.035E-13     1.807E-24      0.000E+00      0.000E+00        0.000E+00       2.389E-03      4.268E-03
112.00    113.00    113.00     -1.000E-03     2.233E-03     6.911E-13     1.778E-24      0.000E+00      0.000E+00        0.000E+00       2.388E-03      4.268E-03
113.00    114.00    114.00     -1.000E-03     2.275E-03     6.790E-13     1.745E-24      0.000E+00      0.000E+00        0.000E+00       2.387E-03      4.268E-03
114.00    115.00    115.00     -1.000E-03     2.319E-03     6.673E-13     1.712E-24      0.000E+00      0.000E+00        0.000E+00       2.386E-03      4.268E-03
115.00    116.00    116.00     -1.000E-03     2.364E-03     6.558E-13     1.680E-24      0.000E+00      0.000E+00        0.000E+00       2.384E-03      4.268E-03
116.00    117.00    117.00     -1.000E-03     2.409E-03     6.446E-13     1.648E-24      0.000E+00      0.000E+00        0.000E+00       2.383E-03      4.268E-03
117.00    118.00    118.00     -1.000E-03     2.454E-03     6.338E-13     1.618E-24      0.000E+00      0.000E+00        0.000E+00       2.382E-03      4.268E-03
118.00    119.00    119.00     -1.000E-03     2.500E-03     6.232E-13     1.589E-24      0.000E+00      0.000E+00        0.000E+00       2.381E-03      4.268E-03
119.00    120.00    120.00     -1.000E-03     2.546E-03     6.128E-13     1.561E-24      0.000E+00      0.000E+00        0.000E+00       2.380E-03      4.268E-03
120.00    121.00    121.00     -1.000E-03     2.592E-03     6.027E-13     1.533E-24      0.000E+00      0.000E+00        0.000E+00       2.379E-03      4.268E-03
121.00    122.00    122.00     -1.000E-03     2.639E-03     5.929E-13     1.507E-24      0.000E+00      0.000E+00        0.000E+00       2.378E-03      4.268E-03
122.00    123.00    123.00     -1.000E-03     2.686E-03     5.833E-13     1.481E-24      0.000E+00      0.000E+00        0.000E+00       2.377E-03      4.268E-03
123.00    124.00    124.00     -1.000E-03     2.734E-03     5.739E-13     1.456E-24      0.000E+00      0.000E+00        0.000E+00       2.376E-03      4.268E-03
124.00    125.00    125.00     -1.000E-03     2.781E-03     5.647E-13     1.431E-24      0.000E+00      0.000E+00        0.000E+00       2.375E-03      4.268E-03
125.00    126.00    126.00     -1.000E-03     2.829E-03     5.558E-13     1.407E-24      0.000E+00      0.000E+00        0.000E+00       2.374E-03      4.268E-03
126.00    127.00    127.00     -1.000E-03     2.877E-03     5.471E-13     1.385E-24      0.000E+00      0.000E+00        0.000E+00       2.374E-03      4.268E-03
127.00    128.00    128.00     -1.000E-03     2.926E-03     5.386E-13     1.362E-24      0.000E+00      0.000E+00        0.000E+00       2.373E-03      4.268E-03
128.00    129.00    129.00     -1.000E-03     2.973E-03     5.302E-13     1.338E-24      0.000E+00      0.000E+00        0.000E+00       2.372E-03      4.268E-03
129.00    130.00    130.00     -1.000E-03     3.018E-03     5.221E-13     1.312E-24      0.000E+00      0.000E+00        0.000E+00       2.371E-03      4.268E-03
130.00    131.00    131.00     -1.000E-03     3.066E-03     5.142E-13     1.291E-24      0.000E+00      0.000E+00        0.000E+00       2.370E-03      4.268E-03
131.00    132.00    132.00     -1.000E-03     3.116E-03     5.064E-13     1.271E-24      0.000E+00      0.000E+00        0.000E+00       2.369E-03      4.268E-03
132.00    133.00    133.00     -1.000E-03     3.167E-03     4.988E-13     1.252E-24      0.000E+00      0.000E+00        0.000E+00       2.369E-03      4.268E-03
133.00    134.00    134.00     -1.000E-03     3.217E-03     4.914E-13     1.233E-24      0.000E+00      0.000E+00        0.000E+00       2.368E-03      4.268E-03
134.00    135.00    135.00     -1.000E-03     3.268E-03     4.841E-13     1.214E-24      0.000E+00      0.000E+00        0.000E+00       2.367E-03      4.268E-03
135.00    136.00    136.00     -1.000E-03     3.320E-03     4.770E-13     1.197E-24      0.000E+00      0.000E+00        0.000E+00       2.366E-03      4.268E-03
136.00    137.00    137.00     -1.000E-03     3.371E-03     4.701E-13     1.179E-24      0.000E+00      0.000E+00        0.000E+00       2.366E-03      4.268E-03
137.00    138.00    138.00     -1.000E-03     3.423E-03     4.633E-13     1.162E-24      0.000E+00      0.000E+00        0.000E+00       2.365E-03      4.268E-03
138.00    139.00    139.00     -1.000E-03     3.475E-03     4.567E-13     1.145E-24      0.000E+00      0.000E+00        0.000E+00       2.364E-03      4.268E-03
139.00    140.00    140.00     -1.000E-03     3.528E-03     4.502E-13     1.129E-24      0.000E+00      0.000E+00        0.000E+00       2.363E-03      4.268E-03
140.00    141.00    141.00     -1.000E-03     3.581E-03     4.438E-13     1.113E-24      0.000E+00      0.000E+00        0.000E+00       2.363E-03      4.268E-03
141.00    142.00    142.00     -1.000E-03     3.634E-03     4.376E-13     1.098E-24      0.000E+00      0.000E+00        0.000E+00       2.362E-03      4.268E-03
142.00    143.00    143.00     -1.000E-03     3.688E-03     4.315E-13     1.083E-24      0.000E+00      0.000E+00        0.000E+00       2.361E-03      4.268E-03
143.00    144.00    144.00     -1.000E-03     3.742E-03     4.255E-13     1.068E-24      0.000E+00      0.000E+00        0.000E+00       2.361E-03      4.268E-03
144.00    145.00    145.00     -1.000E-03     3.796E-03     4.196E-13     1.053E-24      0.000E+00      0.000E+00        0.000E+00       2.360E-03      4.268E-03
145.00    146.00    146.00     -1.000E-03     3.850E-03     4.139E-13     1.039E-24      0.000E+00      0.000E+00        0.000E+00       2.360E-03      4.268E-03
146.00    147.00    147.00     -1.000E-03     3.905E-03     4.083E-13     1.025E-24      0.000E+00      0.000E+00        0.000E+00       2.359E-03      4.268E-03
147.00    148.00    148.00     -1.000E-03     3.960E-03     4.028E-13     1.012E-24      0.000E+00      0.000E+00        0.000E+00       2.358E-03      4.268E-03
148.00    149.00    149.00     -1.000E-03     4.016E-03     3.974E-13     9.984E-25      0.000E+00      0.000E+00        0.000E+00       2.358E-03      4.268E-03
