Mv1      lamL      xs(fb)          r          Acc     SR         ds       Sobs      xs_lim(fb)
180.0    2.00    1.6939e+01    2.033e-01     0.02    EM10      0.901      58.00      75.92
180.0    3.00    3.8191e+01    4.360e-01     0.02    EM10      1.984      58.00      81.97
180.0    4.00    6.7758e+01    7.735e-01     0.02    EM10      3.519      58.00      85.34
180.0    5.00    1.0585e+02    1.295e+00     0.02    EM10      5.681      58.00      84.38
180.0    6.00    1.5270e+02    1.923e+00     0.02    EM10      8.306      58.00      87.40
180.0    7.00    2.0775e+02    2.189e+00     0.02    EM10      10.392      58.00      108.27
180.0    8.00    2.7103e+02    2.713e+00     0.02    EM10      13.235      58.00      120.65
180.0    9.00    3.4362e+02    3.943e+00     0.02    EM10      17.890      58.00      116.32
180.0    10.00    4.2347e+02    5.083e+00     0.02    EM10      22.520      58.00      121.18
180.0    11.00    5.1272e+02    5.733e+00     0.02    EM10      26.372      58.00      138.16
180.0    12.00    6.1065e+02    6.756e+00     0.02    EM10      31.253      58.00      150.57
190.0    1.00    3.2524e+00    3.446e-02     0.02    EM10      0.163      58.00      83.63
190.0    2.00    1.2990e+01    1.536e-01     0.02    EM10      0.686      58.00      76.53
190.0    3.00    2.9207e+01    3.094e-01     0.02    EM10      1.465      58.00      86.69
190.0    4.00    5.2038e+01    6.124e-01     0.02    EM10      2.742      58.00      81.28
190.0    5.00    8.1307e+01    8.567e-01     0.02    EM10      4.067      58.00      93.30
190.0    6.00    1.1701e+02    1.459e+00     0.02    EM10      6.336      58.00      84.20
190.0    7.00    1.5913e+02    2.125e+00     0.02    EM10      8.899      58.00      83.79
190.0    8.00    2.0791e+02    2.422e+00     0.02    EM10      10.903      58.00      99.62
190.0    9.00    2.6316e+02    3.066e+00     0.02    EM10      13.800      58.00      105.86
190.0    10.00    3.2478e+02    3.327e+00     0.02    EM10      16.033      58.00      124.87
190.0    11.00    3.9375e+02    4.819e+00     0.02    EM10      21.131      58.00      116.14
190.0    12.00    4.6837e+02    5.870e+00     0.02    EM10      25.418      58.00      122.19
200.0    1.00    2.5212e+00    3.041e-02     0.02    EM10      0.134      58.00      73.98
200.0    2.00    1.0088e+01    1.211e-01     0.02    EM10      0.536      58.00      75.16
200.0    3.00    2.2753e+01    2.718e-01     0.02    EM10      1.207      58.00      76.92
200.0    4.00    4.0346e+01    4.937e-01     0.02    EM10      2.165      58.00      77.15
200.0    5.00    6.3088e+01    8.203e-01     0.02    EM10      3.484      58.00      75.42
200.0    6.00    9.0725e+01    1.084e+00     0.02    EM10      4.813      58.00      84.51
200.0    7.00    1.2364e+02    1.564e+00     0.02    EM10      6.740      58.00      83.90
200.0    8.00    1.6162e+02    2.092e+00     0.02    EM10      8.906      58.00      86.32
200.0    9.00    2.0430e+02    2.476e+00     0.02    EM10      10.914      58.00      96.00
200.0    10.00    2.5237e+02    2.970e+00     0.02    EM10      13.296      58.00      103.79
200.0    11.00    3.0498e+02    3.535e+00     0.02    EM10      15.955      58.00      111.02
200.0    12.00    3.6278e+02    4.482e+00     0.02    EM10      19.557      58.00      111.89
210.0    1.00    1.9803e+00    2.692e-02     0.02    EM10      0.112      58.00      66.05
210.0    2.00    7.8995e+00    9.760e-02     0.02    EM10      0.426      58.00      72.91
210.0    3.00    1.7813e+01    2.327e-01     0.02    EM10      0.986      58.00      70.27
210.0    4.00    3.1697e+01    3.898e-01     0.02    EM10      1.705      58.00      75.86
210.0    5.00    4.9452e+01    6.518e-01     0.02    EM10      2.748      58.00      73.06
210.0    6.00    7.1183e+01    8.001e-01     0.02    EM10      3.670      58.00      86.93
210.0    7.00    9.6937e+01    1.033e+00     0.02    EM10      4.874      58.00      94.23
210.0    8.00    1.2660e+02    1.291e+00     0.08    IM7      13.095      274.00      99.69
210.0    9.00    1.6015e+02    1.941e+00     0.02    EM10      8.556      58.00      91.11
210.0    10.00    1.9795e+02    2.457e+00     0.02    EM10      10.695      58.00      93.42
210.0    11.00    2.3945e+02    2.860e+00     0.02    EM10      12.704      58.00      101.10
210.0    12.00    2.8508e+02    3.472e+00     0.02    EM10      15.264      58.00      104.55
220.0    1.00    1.5672e+00    2.241e-02     0.03    EM10      0.091      58.00      62.92
220.0    2.00    6.2662e+00    8.591e-02     0.02    EM10      0.355      58.00      65.97
220.0    3.00    1.4096e+01    1.833e-01     0.02    EM10      0.778      58.00      70.17
220.0    4.00    2.5041e+01    3.197e-01     0.02    EM10      1.371      58.00      72.56
220.0    5.00    3.9087e+01    5.013e-01     0.02    EM10      2.145      58.00      73.77
220.0    6.00    5.6391e+01    7.465e-01     0.02    EM10      3.141      58.00      73.50
220.0    7.00    7.6725e+01    9.841e-01     0.02    EM10      4.210      58.00      77.83
220.0    8.00    1.0022e+02    1.191e+00     0.02    EM10      5.305      58.00      85.94
220.0    9.00    1.2684e+02    1.619e+00     0.02    EM10      6.944      58.00      83.57
220.0    10.00    1.5671e+02    2.084e+00     0.02    EM10      8.746      58.00      83.85
220.0    11.00    1.8958e+02    2.432e+00     0.02    EM10      10.402      58.00      90.01
220.0    12.00    2.2560e+02    3.013e+00     0.02    EM10      12.617      58.00      90.83
230.0    1.00    1.2529e+00    1.489e-02     0.02    EM10      0.066      58.00      74.87
230.0    2.00    5.0057e+00    6.067e-02     0.02    EM10      0.267      58.00      73.92
