Mv1      lamL      xs(fb) 
490.0    11.00    3.4033e+00 
490.0    12.00    4.0499e+00 
500.0    1.00    2.4970e-02 
500.0    2.00    9.9795e-02 
500.0    3.00    2.2464e-01 
500.0    4.00    3.9892e-01 
500.0    5.00    6.2459e-01 
500.0    6.00    8.9825e-01 
500.0    7.00    1.2224e+00 
500.0    8.00    1.5971e+00 
500.0    9.00    2.0216e+00 
500.0    10.00    2.4954e+00 
500.0    11.00    3.0173e+00 
500.0    12.00    3.5907e+00 
510.0    1.00    2.2194e-02 
510.0    2.00    8.8561e-02 
510.0    3.00    1.9953e-01 
510.0    4.00    3.5517e-01 
510.0    5.00    5.5533e-01 
510.0    6.00    7.9970e-01 
510.0    7.00    1.0879e+00 
510.0    8.00    1.4200e+00 
510.0    9.00    1.7957e+00 
510.0    10.00    2.2196e+00 
510.0    11.00    2.6858e+00 
510.0    12.00    3.1946e+00 
