Mv1      Mv2      xs(fb)            r          Acc     SR         ds         Sobs      xs_lim(fb)
140.0    291.0    1.5079e+02    1.065e+00     0.06    IM7      8.153      274.00      141.95
140.0    301.0    1.4041e+02    1.334e+00     0.02    EM10      4.130      58.00      108.09
140.0    311.0    1.3105e+02    1.123e+00     0.02    EM10      3.669      58.00      117.91
140.0    321.0    1.2264e+02    1.045e+00     0.01    EM10      3.425      58.00      117.80
140.0    331.0    1.1491e+02    1.103e+00     0.02    EM10      3.396      58.00      105.07
140.0    341.0    1.0769e+02    1.144e+00     0.02    EM10      3.343      58.00      95.16
140.0    351.0    1.0114e+02    1.002e+00     0.02    EM10      3.035      58.00      100.96
140.0    361.0    9.5239e+01    9.708e-01     0.02    EM10      2.898      58.00      97.88
140.0    371.0    8.9601e+01    9.434e-01     0.02    EM10      2.769      58.00      94.57
140.0    381.0    8.4601e+01    9.536e-01     0.02    EM10      2.701      58.00      88.41
140.0    391.0    7.9832e+01    9.841e-01     0.02    EM10      2.661      58.00      81.03
140.0    401.0    7.5516e+01    9.110e-01     0.02    EM10      2.491      58.00      82.37
145.0    250.0    1.9211e+02    1.106e+00     0.05    IM7      9.399      274.00      174.59
145.0    260.0    1.7714e+02    1.085e+00     0.05    IM7      8.934      274.00      163.85
145.0    270.0    1.6378e+02    1.100e+00     0.05    IM7      8.638      274.00      149.60
145.0    280.0    1.5180e+02    1.149e+00     0.01    EM10      4.006      58.00      133.88
145.0    290.0    1.4115e+02    1.055e+00     0.01    EM10      3.703      58.00      134.46
145.0    300.0    1.3138e+02    9.032e-01     0.05    IM7      7.009      274.00      144.84
145.0    310.0    1.2268e+02    1.002e+00     0.01    EM10      3.357      58.00      122.50
145.0    320.0    1.1464e+02    9.359e-01     0.01    EM10      3.137      58.00      121.81
145.0    330.0    1.0737e+02    9.355e-01     0.02    EM10      3.030      58.00      114.16
145.0    340.0    1.0078e+02    9.285e-01     0.02    EM10      2.921      58.00      107.90
145.0    350.0    9.4626e+01    9.465e-01     0.02    EM10      2.853      58.00      99.56
150.0    151.0    4.9676e+02    2.763e+00     0.04    IM7      23.899      274.00      195.40
150.0    161.0    4.3663e+02    1.906e+00     0.04    IM7      18.671      274.00      240.54
150.0    171.0    3.8710e+02    1.565e+00     0.03    IM7      15.948      274.00      255.36
150.0    181.0    3.4504e+02    1.374e+00     0.03    IM7      14.110      274.00      256.58
150.0    191.0    3.0962e+02    1.320e+00     0.03    IM7      13.088      274.00      238.76
150.0    201.0    2.7926e+02    8.605e-01     0.06    IM6      15.830      692.00      322.65
150.0    211.0    2.5274e+02    1.242e+00     0.04    IM7      11.448      274.00      206.05
150.0    221.0    2.3029e+02    1.165e+00     0.04    IM7      10.579      274.00      199.37
150.0    231.0    2.1014e+02    1.104e+00     0.04    IM7      9.833      274.00      191.35
150.0    241.0    1.9300e+02    1.103e+00     0.05    IM7      9.410      274.00      175.82
150.0    251.0    1.7747e+02    9.333e-01     0.04    IM7      8.308      274.00      189.52
150.0    261.0    1.6388e+02    9.696e-01     0.05    IM7      8.125      274.00      168.77
150.0    271.0    1.5151e+02    9.159e-01     0.05    IM7      7.591      274.00      164.76
150.0    281.0    1.4054e+02    9.970e-01     0.01    EM10      3.596      58.00      140.92
150.0    291.0    1.3047e+02    9.162e-01     0.01    EM10      3.322      58.00      141.28
150.0    301.0    1.2156e+02    8.162e-01     0.05    IM7      6.411      274.00      147.70
150.0    311.0    1.1339e+02    9.015e-01     0.01    EM10      3.063      58.00      124.70
150.0    321.0    1.0605e+02    9.340e-01     0.02    EM10      3.009      58.00      112.91
150.0    331.0    9.9391e+01    8.494e-01     0.01    EM10      2.779      58.00      115.53
150.0    341.0    9.3139e+01    7.848e-01     0.01    EM10      2.587      58.00      116.50
150.0    351.0    8.7504e+01    8.125e-01     0.02    EM10      2.546      58.00      106.05
155.0    210.0    2.3902e+02    1.143e+00     0.04    IM7      10.683      274.00      210.73
155.0    220.0    2.1729e+02    1.023e+00     0.04    IM7      9.640      274.00      212.61
155.0    230.0    1.9867e+02    9.621e-01     0.04    IM7      8.935      274.00      206.08
155.0    240.0    1.8204e+02    9.779e-01     0.04    IM7      8.611      274.00      185.96
160.0    161.0    3.8356e+02    2.200e+00     0.05    IM7      18.733      274.00      184.46
160.0    171.0    3.3942e+02    1.411e+00     0.03    IM7      14.171      274.00      246.23
160.0    181.0    3.0242e+02    1.289e+00     0.03    IM7      12.784      274.00      238.35
160.0    191.0    2.7148e+02    1.160e+00     0.03    IM7      11.489      274.00      236.09
160.0    201.0    2.4461e+02    1.052e+00     0.03    IM7      10.382      274.00      233.27
160.0    211.0    2.2186e+02    1.003e+00     0.04    IM7      9.649      274.00      221.29
160.0    221.0    2.0185e+02    9.102e-01     0.04    IM7      8.769      274.00      220.67
160.0    231.0    1.8417e+02    9.221e-01     0.04    IM7      8.418      274.00      198.91
160.0    241.0    1.6911e+02    8.849e-01     0.04    IM7      7.898      274.00      189.98
160.0    251.0    1.5541e+02    8.788e-01     0.05    IM7      7.537      274.00      175.81
160.0    261.0    1.4328e+02    7.726e-01     0.04    IM7      6.790      274.00      183.34
160.0    271.0    1.3246e+02    7.401e-01     0.04    IM7      6.387      274.00      176.69
160.0    281.0    1.2273e+02    7.312e-01     0.05    IM7      6.106      274.00      165.70
160.0    291.0    1.1425e+02    7.083e-01     0.05    IM7      5.796      274.00      159.10
160.0    301.0    1.0622e+02    7.460e-01     0.01    EM10      2.705      58.00      139.03
160.0    311.0    9.9091e+01    6.883e-01     0.06    IM7      5.314      274.00      141.98
160.0    321.0    9.2620e+01    7.716e-01     0.01    EM10      2.559      58.00      117.68
160.0    331.0    8.6744e+01    7.309e-01     0.01    EM10      2.409      58.00      115.95
160.0    341.0    8.1362e+01    7.360e-01     0.02    EM10      2.338      58.00      108.14
160.0    351.0    7.6462e+01    6.753e-01     0.02    EM10      2.172      58.00      110.16
160.0    361.0    7.1901e+01    6.264e-01     0.02    EM10      2.029      58.00      111.18
165.0    180.0    2.8773e+02    1.269e+00     0.04    IM7      12.367      274.00      230.02
165.0    190.0    2.5760e+02    1.114e+00     0.03    IM7      10.965      274.00      232.69
165.0    200.0    2.3197e+02    6.925e-01     0.06    IM6      12.947      692.00      330.61
165.0    210.0    2.1037e+02    8.969e-01     0.03    IM7      8.893      274.00      233.20
165.0    220.0    1.9101e+02    8.310e-01     0.03    IM7      8.154      274.00      227.70
170.0    171.0    3.0035e+02    1.720e+00     0.05    IM7      14.656      274.00      180.73
170.0    181.0    2.6758e+02    1.203e+00     0.04    IM7      11.605      274.00      224.98
170.0    191.0    2.3971e+02    1.001e+00     0.03    IM7      10.032      274.00      239.46
170.0    201.0    2.1599e+02    9.441e-01     0.04    IM7      9.242      274.00      228.07
170.0    211.0    1.9577e+02    8.317e-01     0.03    IM7      8.261      274.00      233.18
170.0    221.0    1.7805e+02    5.552e-01     0.06    IM6      10.151      692.00      314.79
170.0    231.0    1.6271e+02    7.696e-01     0.04    IM7      7.234      274.00      208.83
170.0    241.0    1.4894e+02    7.228e-01     0.04    IM7      6.705      274.00      203.05
170.0    251.0    1.3697e+02    6.816e-01     0.04    IM7      6.242      274.00      197.63
170.0    261.0    1.2628e+02    6.608e-01     0.04    IM7      5.897      274.00      187.81
170.0    271.0    1.1670e+02    6.173e-01     0.04    IM7      5.478      274.00      185.40
170.0    281.0    1.0829e+02    5.650e-01     0.04    IM7      5.050      274.00      187.43
170.0    291.0    1.0051e+02    5.694e-01     0.05    IM7      4.879      274.00      172.82
170.0    301.0    9.3516e+01    5.865e-01     0.05    IM7      4.770      274.00      156.39
170.0    311.0    8.7260e+01    5.540e-01     0.05    IM7      4.478      274.00      154.26
170.0    321.0    8.1485e+01    5.127e-01     0.05    IM7      4.163      274.00      155.33
170.0    331.0    7.6342e+01    5.209e-01     0.05    IM7      4.058      274.00      143.44
170.0    341.0    7.1510e+01    5.736e-01     0.01    EM10      1.940      58.00      120.03
170.0    351.0    6.7314e+01    4.634e-01     0.05    IM7      3.594      274.00      141.79
170.0    361.0    6.3258e+01    5.315e-01     0.01    EM10      1.755      58.00      114.25
170.0    371.0    5.9584e+01    5.461e-01     0.02    EM10      1.723      58.00      105.04
175.0    176.0    2.6694e+02    1.667e+00     0.05    IM7      13.590      274.00      165.07
175.0    180.0    2.5506e+02    1.277e+00     0.04    IM7      11.659      274.00      202.59
175.0    181.0    2.5223e+02    1.231e+00     0.04    IM7      11.385      274.00      207.45
175.0    182.0    2.4946e+02    1.121e+00     0.04    IM7      10.818      274.00      223.99
175.0    183.0    2.4686e+02    1.175e+00     0.04    IM7      11.010      274.00      212.01
175.0    184.0    2.4389e+02    1.144e+00     0.04    IM7      10.798      274.00      214.91
175.0    185.0    2.4114e+02    1.064e+00     0.04    IM7      10.364      274.00      227.45
175.0    186.0    2.3872e+02    1.070e+00     0.04    IM7      10.341      274.00      223.88
175.0    187.0    2.3604e+02    1.009e+00     0.03    IM7      9.990      274.00      234.11
175.0    188.0    2.3350e+02    9.728e-01     0.03    IM7      9.761      274.00      239.66
175.0    189.0    2.3089e+02    1.007e+00     0.04    IM7      9.868      274.00      229.40
175.0    190.0    2.2849e+02    9.987e-01     0.04    IM7      9.777      274.00      228.76
180.0    180.0    2.4102e+02    1.508e+00     0.05    IM7      12.280      274.00      163.61
180.0    181.0    2.3781e+02    1.439e+00     0.05    IM7      11.920      274.00      168.70
180.0    182.0    2.3543e+02    1.348e+00     0.05    IM7      11.489      274.00      177.58
180.0    183.0    2.3306e+02    1.275e+00     0.04    IM7      11.121      274.00      185.33
180.0    184.0    2.3049e+02    1.181e+00     0.04    IM7      10.656      274.00      196.93
180.0    185.0    2.2772e+02    1.077e+00     0.04    IM7      10.124      274.00      212.29
180.0    186.0    2.2524e+02    1.241e+00     0.01    EM10      5.112      58.00      186.12
180.0    187.0    2.2291e+02    1.035e+00     0.04    IM7      9.821      274.00      215.80
180.0    188.0    2.2047e+02    1.001e+00     0.04    IM7      9.609      274.00      220.27
180.0    189.0    2.1809e+02    1.071e+00     0.04    IM7      9.874      274.00      204.44
180.0    190.0    2.1588e+02    9.547e-01     0.04    IM7      9.289      274.00      225.56
180.0    191.0    2.1353e+02    9.399e-01     0.04    IM7      9.168      274.00      226.43
180.0    192.0    2.1095e+02    9.470e-01     0.04    IM7      9.144      274.00      222.13
180.0    193.0    2.0893e+02    9.389e-01     0.04    IM7      9.061      274.00      221.78
180.0    194.0    2.0665e+02    6.165e-01     0.06    IM6      11.530      692.00      329.75
180.0    195.0    2.0453e+02    9.328e-01     0.04    IM7      8.934      274.00      218.47
180.0    196.0    2.0248e+02    8.425e-01     0.03    IM7      8.459      274.00      238.18
180.0    197.0    2.0039e+02    8.420e-01     0.03    IM7      8.411      274.00      235.86
180.0    198.0    1.9827e+02    8.108e-01     0.03    IM7      8.214      274.00      241.89
180.0    199.0    1.9620e+02    8.274e-01     0.03    IM7      8.250      274.00      234.81
180.0    200.0    1.9418e+02    8.438e-01     0.03    IM7      8.285      274.00      228.13
180.0    201.0    1.9211e+02    8.811e-01     0.04    IM7      8.414      274.00      216.64
180.0    211.0    1.7408e+02    7.511e-01     0.03    IM7      7.402      274.00      228.55
180.0    221.0    1.5819e+02    6.704e-01     0.03    IM7      6.668      274.00      231.60
180.0    231.0    1.4439e+02    6.644e-01     0.04    IM7      6.334      274.00      213.37
180.0    241.0    1.3214e+02    5.918e-01     0.04    IM7      5.721      274.00      218.30
180.0    251.0    1.2147e+02    5.658e-01     0.04    IM7      5.361      274.00      209.68
180.0    261.0    1.1200e+02    3.911e-01     0.07    IM6      6.750      692.00      279.50
180.0    271.0    1.0355e+02    5.738e-01     0.04    IM7      4.973      274.00      176.67
180.0    281.0    9.6020e+01    3.394e-01     0.07    IM6      5.822      692.00      275.57
180.0    291.0    8.9075e+01    4.680e-01     0.04    IM7      4.168      274.00      185.22
180.0    301.0    8.3018e+01    4.681e-01     0.04    IM7      4.021      274.00      172.73
180.0    311.0    7.7369e+01    4.637e-01     0.05    IM7      3.860      274.00      162.59
180.0    321.0    7.2348e+01    4.627e-01     0.05    IM7      3.726      274.00      152.50
180.0    331.0    6.7630e+01    4.318e-01     0.05    IM7      3.480      274.00      152.52
180.0    341.0    6.3459e+01    4.849e-01     0.01    EM10      1.682      58.00      124.86
180.0    351.0    5.9565e+01    4.030e-01     0.05    IM7      3.153      274.00      143.85
180.0    361.0    5.6021e+01    3.937e-01     0.04    IM8      2.462      180.00      137.63
180.0    371.0    5.2746e+01    4.470e-01     0.01    EM10      1.469      58.00      112.46
180.0    381.0    4.9750e+01    4.441e-01     0.02    EM10      1.421      58.00      106.85
185.0    185.0    2.1534e+02    1.497e+00     0.01    EM10      5.457      58.00      150.53
185.0    186.0    2.1302e+02    1.371e+00     0.05    IM7      11.005      274.00      158.01
185.0    187.0    2.1072e+02    1.251e+00     0.05    IM7      10.466      274.00      170.45
185.0    188.0    2.0842e+02    1.120e+00     0.04    IM7      9.858      274.00      187.28
185.0    189.0    2.0636e+02    7.456e-01     0.07    IM6      12.646      692.00      274.06
185.0    190.0    2.0396e+02    1.083e+00     0.04    IM7      9.594      274.00      189.11
185.0    191.0    2.0169e+02    1.007e+00     0.04    IM7      9.205      274.00      200.41
185.0    192.0    1.9963e+02    9.309e-01     0.04    IM7      8.815      274.00      213.65
185.0    193.0    1.9738e+02    9.245e-01     0.04    IM7      8.734      274.00      212.64
185.0    194.0    1.9535e+02    9.360e-01     0.04    IM7      8.740      274.00      208.00
185.0    195.0    1.9348e+02    8.576e-01     0.04    IM7      8.335      274.00      223.84
185.0    196.0    1.9131e+02    8.352e-01     0.04    IM7      8.181      274.00      226.96
185.0    197.0    1.8951e+02    8.585e-01     0.04    IM7      8.251      274.00      219.06
185.0    198.0    1.8740e+02    5.962e-01     0.06    IM6      10.790      692.00      309.11
185.0    199.0    1.8549e+02    8.174e-01     0.04    IM7      7.968      274.00      224.63
185.0    200.0    1.8361e+02    7.424e-01     0.03    IM7      7.564      274.00      243.66
190.0    190.0    1.9316e+02    1.153e+00     0.05    IM7      9.618      274.00      168.78
190.0    191.0    1.9123e+02    1.180e+00     0.05    IM7      9.677      274.00      163.47
190.0    192.0    1.8895e+02    1.322e+00     0.01    EM10      4.804      58.00      147.17
190.0    193.0    1.8703e+02    1.086e+00     0.05    IM7      9.190      274.00      172.87
190.0    194.0    1.8496e+02    9.983e-01     0.04    IM7      8.769      274.00      185.26
190.0    195.0    1.8324e+02    9.373e-01     0.04    IM7      8.463      274.00      194.88
