 Mv1   Mvp      cs_(pb)   
 79.7    92.9    2.4741E-01 
 40.0    88.8    1.3362E+00 
 89.1    91.5    5.4350E-01 
 20.5    94.2    5.7095E-02 
 87.5    89.7    1.0411E+00 
 77.7    90.3    8.6137E-01 
 69.2    92.5    3.2325E-01 
 66.3    91.9    4.5034E-01 
 8.7    91.8    4.7301E-01 
 52.3    92.3    3.6388E-01 
 25.1    91.8    4.7301E-01 
 16.3    91.5    5.4350E-01 
 29.5    94.5    2.8092E-02 
 44.6    87.3    1.8950E+00 
 81.4    93.3    1.7916E-01 
 61.8    92.0    4.2808E-01 
 49.2    93.1    2.1230E-01 
 62.7    88.6    1.4059E+00 
 28.8    89.0    1.2680E+00 
 89.5    94.7    1.3019E-02 
 15.1    90.5    8.0450E-01 
 66.2    86.4    2.2706E+00 
 71.4    92.4    3.4335E-01 
 82.8    87.3    1.8950E+00 
 47.3    85.7    2.5840E+00 
 78.3    85.7    2.5840E+00 
 6.4    85.7    2.5840E+00 
 2.6    89.9    9.7971E-01 
 30.9    93.3    1.7916E-01 
 33.6    94.2    5.7095E-02 
 53.5    93.2    1.9548E-01 
 73.1    86.5    2.2274E+00 
 18.6    85.1    2.8676E+00 
 55.5    85.7    2.5840E+00 
 62.9    91.4    5.6781E-01 
 83.8    88.4    1.4770E+00 
 38.0    91.6    5.1959E-01 
 57.0    93.4    1.6335E-01 
 73.5    89.8    1.0102E+00 
 25.3    90.1    9.1978E-01 
 54.9    88.0    1.6238E+00 
 58.6    90.6    7.7663E-01 
 79.7    93.8    1.0549E-01 
 39.5    86.2    2.3583E+00 
 80.2    94.2    5.7095E-02 
 8.1    86.2    2.3583E+00 
 54.2    91.2    6.1765E-01 
 19.8    90.2    8.9039E-01 
 32.3    93.1    2.1230E-01 
 16.2    86.5    2.2274E+00 
 15.9    90.3    8.6137E-01 
 81.7    92.2    3.8485E-01 
 37.4    90.5    8.0450E-01 
 20.2    91.1    6.4316E-01 
 6.9    92.4    3.4335E-01 
 30.5    92.1    4.0625E-01 
 53.0    91.9    4.5034E-01 
 83.5    88.3    1.5132E+00 
 61.0    92.7    2.8441E-01 
 85.5    91.8    4.7301E-01 
 30.8    85.8    2.5381E+00 
 90.8    91.2    6.1765E-01 
 77.2    85.5    2.6770E+00 
 59.1    90.8    7.2207E-01 
 76.7    94.5    2.8092E-02 
 14.0    94.6    2.0073E-02 
 57.2    86.9    2.0582E+00 
 70.0    89.8    1.0102E+00 
 83.4    94.9    2.4985E-03 
 19.7    88.6    1.4059E+00 
 68.5    85.2    2.8194E+00 
 68.7    87.9    1.6614E+00 
 79.8    90.4    8.3274E-01 
 77.2    93.4    1.6335E-01 
 88.4    91.7    4.9609E-01 
 89.8    91.5    5.4350E-01 
 71.7    89.8    1.0102E+00 
 24.4    89.8    1.0102E+00 
 44.4    88.7    1.3708E+00 
 44.3    85.1    2.8676E+00 
 56.3    86.3    2.3143E+00 
 49.1    88.9    1.3019E+00 
 13.7    91.8    4.7301E-01 
 75.2    93.1    2.1230E-01 
 70.0    89.3    1.1685E+00 
 10.7    89.9    9.7971E-01 
 18.9    94.0    8.0020E-02 
 33.6    94.5    2.8092E-02 
 74.0    87.1    1.9758E+00 
 62.0    91.3    5.9253E-01 
 86.7    88.3    1.5132E+00 
 12.7    86.0    2.4474E+00 
 81.1    90.6    7.7663E-01 
 47.4    87.5    1.8156E+00 
 56.5    85.3    2.7715E+00 
 38.6    85.5    2.6770E+00 
 42.4    90.1    9.1978E-01 
 72.5    86.7    2.1420E+00 
 32.5    89.2    1.2013E+00 
 60.6    89.2    1.2013E+00 
 48.5    85.9    2.4926E+00 
 47.9    93.1    2.1230E-01 
 5.2    87.1    1.9758E+00 
 3.3    91.6    5.1959E-01 
 84.6    93.9    9.2450E-02 
 52.3    89.6    1.0724E+00 
 5.3    85.8    2.5381E+00 
 49.2    89.2    1.2013E+00 
 13.5    94.1    6.8225E-02 
 93.2    93.5    1.4806E-01 
 8.3    87.5    1.8156E+00 
 27.5    91.8    4.7301E-01 
 66.9    86.8    2.0999E+00 
 25.6    86.5    2.2274E+00 
 27.9    92.2    3.8485E-01 
 93.3    94.8    7.0768E-03 
 86.8    94.6    2.0073E-02 
 74.2    93.6    1.3331E-01 
 76.1    87.6    1.7765E+00 
 32.2    93.0    2.2961E-01 
 34.4    93.0    2.2961E-01 
 23.3    89.6    1.0724E+00 
 71.0    86.6    2.1845E+00 
 31.8    92.8    2.6568E-01 
 41.1    90.8    7.2207E-01 
 46.0    85.7    2.5840E+00 
 76.0    92.0    4.2808E-01 
 22.5    85.3    2.7715E+00 
 43.1    86.7    2.1420E+00 
 34.9    88.6    1.4059E+00 
 15.9    88.1    1.5865E+00 
