 Mv1       Mv2        Mvp         lamL       alpha2      alpha3        Omega        protonSI      Br(H->v1v1)     Br(H->v2v2)     ctau_v2     Br(H->AA)      Width_H   
25.05   32.40    100.00   2.348E-01   9.640E-01   -9.640E-01     4.196E-01     7.198E-07      7.882E-01       2.117E-01       1.319E-05      4.075E-07      3.984E+01 
14.60   14.96    100.00   8.805E-01   4.019E-01   -4.019E-01     4.309E-02     2.831E-05      5.258E-01       4.742E-01       5.604E+01      8.739E-10      8.518E+03 
50.07   50.42    100.00   2.099E-01   -6.911E-01   6.911E-01     4.513E-04     1.493E-07      5.117E-01       4.855E-01       6.557E+01      8.362E-06      1.559E+00 
38.61   41.98    100.00   -8.566E-01   -1.324E-01   1.324E-01     9.738E-04     4.136E-06      6.011E-01       3.989E-01       5.702E-04      2.646E-06      8.954E+01 
44.11   49.86    100.00   -5.393E-01   -9.966E-01   9.966E-01     2.118E-03     1.263E-06      6.490E-01       3.507E-01       3.923E-05      8.513E-06      1.644E+01 
18.89   20.61    100.00   1.720E-01   5.735E-01   -5.735E-01     7.022E-02     6.633E-07      5.990E-01       4.010E-01       1.909E-02      2.391E-07      9.635E+01 
57.22   59.49    100.00   1.533E-01   6.793E-01   -6.793E-01     2.738E-03     6.123E-08      6.176E-01       3.671E-01       4.058E-03      5.530E-05      2.801E-01 
33.56   39.55    100.00   -4.639E-01   -8.926E-01   8.926E-01     2.960E-02     1.594E-06      6.795E-01       3.204E-01       3.384E-05      2.760E-06      4.644E+01 
12.50   16.08    100.00   4.967E-01   -7.616E-01   7.616E-01     3.790E+00     1.205E-05      7.431E-01       2.569E-01       5.160E-04      5.353E-10      3.654E+03 
42.06   46.31    100.00   -6.173E-01   6.819E-01   -6.819E-01     1.522E-04     1.817E-06      6.166E-01       3.833E-01       1.782E-04      5.554E-06      2.917E+01 
36.66   42.28    100.00   -3.311E-01   -8.123E-01   8.123E-01     6.882E-03     6.835E-07      6.543E-01       3.454E-01       4.548E-05      6.056E-06      1.593E+01 
42.81   45.92    100.00   6.314E-01   -5.967E-01   5.967E-01     6.537E-05     1.836E-06      6.002E-01       3.996E-01       8.511E-04      1.501E-08      2.855E+01 
32.36   37.77    100.00   9.926E-02   3.878E-01   -3.878E-01     3.940E-02     7.835E-08      7.369E-01       2.612E-01       5.571E-05      1.214E-05      2.336E+00 
11.07   17.29    100.00   8.012E-01   5.374E-01   -5.374E-01     1.759E+02     3.925E-05      8.662E-01       1.338E-01       3.547E-05      2.542E-10      1.342E+04 
22.62   26.69    100.00   -3.724E-01   -1.364E-01   1.364E-01     1.908E-01     2.203E-06      6.683E-01       3.317E-01       2.453E-04      6.018E-07      1.856E+02 
38.95   45.80    100.00   9.877E-02   7.717E-01   -7.717E-01     2.423E-03     5.406E-08      7.820E-01       2.131E-01       1.700E-05      3.042E-05      8.753E-01 
31.90   36.51    100.00   -1.455E-01   -5.343E-01   5.343E-01     2.863E-02     1.731E-07      6.249E-01       3.744E-01       1.245E-04      9.992E-06      6.335E+00 
11.78   13.41    100.00   -3.350E-01   1.671E-01   -1.671E-01     4.370E-01     6.113E-06      6.281E-01       3.718E-01       2.678E-02      4.240E-08      2.504E+03 
11.90   19.24    100.00   6.828E-01   8.736E-01   -8.736E-01     1.680E+02     2.493E-05      8.841E-01       1.159E-01       1.565E-05      4.869E-11      7.091E+03 
47.76   55.17    100.00   -5.063E-01   -9.341E-01   9.341E-01     1.301E-02     9.528E-07      6.869E-01       3.126E-01       1.117E-05      1.456E-05      8.855E+00 
56.19   63.47    100.00   -9.463E-02   -1.415E-01   1.415E-01     1.108E-02     2.419E-08      9.467E-01       0.000E+00       1.192E-05      5.452E-04      8.065E-02 
34.56   36.26    100.00   9.580E-01   7.902E-01   -7.902E-01     2.658E-03     6.419E-06      5.609E-01       4.391E-01       1.890E-02      7.373E-08      2.080E+02 
38.91   42.74    100.00   9.189E-01   7.663E-01   -7.663E-01     9.297E-04     4.688E-06      6.248E-01       3.752E-01       3.009E-04      1.370E-07      9.532E+01 
59.68   60.48    100.00   5.478E-01   5.755E-01   -5.755E-01     6.122E-04     7.198E-07      5.524E-01       4.460E-01       8.970E-01      5.943E-08      2.576E+00 
37.65   43.69    100.00   -2.270E-01   5.469E-01   -5.469E-01     4.373E-03     3.052E-07      6.513E-01       3.480E-01       3.175E-05      1.144E-05      6.592E+00 
29.39   34.73    100.00   3.089E-01   6.440E-01   -6.440E-01     7.456E-02     9.145E-07      7.051E-01       2.947E-01       6.049E-05      2.668E-07      3.719E+01 
21.83   26.35    100.00   3.254E-01   -5.913E-01   5.913E-01     2.968E-01     1.800E-06      7.072E-01       2.928E-01       1.458E-04      6.202E-08      1.565E+02 
60.43   60.52    100.00   1.754E-01   8.402E-01   -8.402E-01     5.263E-04     7.202E-08      4.985E-01       4.839E-01       1.189E+05      5.235E-05      2.422E-01 
50.77   57.50    100.00   5.000E-01   1.011E-01   -1.011E-01     1.064E-02     8.241E-07      7.227E-01       2.765E-01       1.791E-05      4.005E-08      5.764E+00 
10.55   11.79    100.00   8.261E-02   -2.060E-01   2.060E-01     3.681E-01     4.556E-07      6.172E-01       3.828E-01       1.038E-01      1.404E-07      2.434E+02 
17.44   19.82    100.00   9.952E-01   5.925E-01   -5.925E-01     2.004E-01     2.584E-05      6.346E-01       3.654E-01       3.695E-03      3.724E-09      4.273E+03 
