 Mv1       Mv2        Mvp         lamL       alpha2      alpha3        Omega        protonSI      Br(H->v1v1)     Br(H->v2v2)     Br(H->v-v+)     Br(H->AA)      Width_H   
1209.93   1214.47    1211.76   -7.009E-01   -9.466E-01   9.466E-01     1.174E-01     2.953E-09      0.000E+00       0.000E+00       0.000E+00      2.366E-03      4.268E-03 
1802.73   1818.19    1821.06   1.520E+00   5.843E-01   -5.843E-01     1.180E-01     6.257E-09      0.000E+00       0.000E+00       0.000E+00      2.315E-03      4.268E-03 
1547.03   1560.34    1564.14   1.337E+00   5.472E-01   -5.472E-01     1.180E-01     6.580E-09      0.000E+00       0.000E+00       0.000E+00      2.311E-03      4.268E-03 
1007.84   1009.53    1012.23   6.538E-01   1.783E-02   -1.783E-02     1.189E-01     3.703E-09      0.000E+00       0.000E+00       0.000E+00      2.235E-03      4.267E-03 
1614.56   1632.78    1616.10   9.316E-01   9.647E-01   -9.647E-01     1.182E-01     2.932E-09      0.000E+00       0.000E+00       0.000E+00      2.242E-03      4.267E-03 
1192.55   1207.53    1194.46   6.298E-01   -2.337E-01   2.337E-01     1.174E-01     2.455E-09      0.000E+00       0.000E+00       0.000E+00      2.236E-03      4.267E-03 
1590.65   1600.36    1599.19   -4.020E-01   -1.032E-01   1.032E-01     1.173E-01     5.625E-10      0.000E+00       0.000E+00       0.000E+00      2.358E-03      4.268E-03 
1319.80   1330.13    1334.81   6.759E-01   2.695E-01   -2.695E-01     1.196E-01     2.309E-09      0.000E+00       0.000E+00       0.000E+00      2.338E-03      4.268E-03 
1520.56   1535.83    1534.36   5.573E-01   -6.665E-01   6.665E-01     1.189E-01     1.183E-09      0.000E+00       0.000E+00       0.000E+00      2.337E-03      4.268E-03 
1699.17   1704.42    1707.20   1.907E+00   -2.887E-01   2.887E-01     1.184E-01     1.109E-08      0.000E+00       0.000E+00       0.000E+00      2.236E-03      4.267E-03 
1630.31   1649.69    1642.78   7.789E-01   -3.650E-01   3.650E-01     1.183E-01     2.010E-09      0.000E+00       0.000E+00       0.000E+00      2.316E-03      4.268E-03 
