 Mv1       Mv2        Mvp         lamL       alpha2      alpha3        Omega        protonSI      Br(H->v1v1)     Br(H->v2v2)     Br(H->v-v+)     Br(H->AA)      Width_H   
72.84   774.35    729.49   -4.766E-02   -8.238E-01   8.238E-01     1.176E-01     3.679E-09      0.000E+00       0.000E+00       0.000E+00      9.561E-03      4.299E-03 
73.84   148.69    914.65   -3.104E-02   -2.550E-01   2.550E-01     1.175E-01     1.519E-09      0.000E+00       0.000E+00       0.000E+00      9.574E-03      4.299E-03 
73.82   278.10    780.66   -3.243E-02   -7.747E-01   7.747E-01     1.179E-01     1.659E-09      0.000E+00       0.000E+00       0.000E+00      9.559E-03      4.299E-03 
73.44   968.52    561.13   -3.748E-02   2.190E-01   -2.190E-01     1.196E-01     2.238E-09      0.000E+00       0.000E+00       0.000E+00      9.510E-03      4.299E-03 
73.02   951.92    496.55   -4.414E-02   -3.488E-01   3.488E-01     1.191E-01     3.140E-09      0.000E+00       0.000E+00       0.000E+00      9.490E-03      4.299E-03 
73.21   646.85    148.07   -2.156E-02   2.011E-01   -2.011E-01     1.179E-01     7.456E-10      0.000E+00       0.000E+00       0.000E+00      7.902E-03      4.292E-03 
71.98   742.27    134.71   -4.624E-02   -9.388E-01   9.388E-01     1.181E-01     3.545E-09      0.000E+00       0.000E+00       0.000E+00      8.014E-03      4.292E-03 
74.20   378.86    900.40   -2.436E-02   -4.723E-01   4.723E-01     1.193E-01     9.265E-10      0.000E+00       0.000E+00       0.000E+00      9.570E-03      4.299E-03 
73.48   476.08    196.92   -3.253E-02   1.439E-01   -1.439E-01     1.182E-01     1.685E-09      0.000E+00       0.000E+00       0.000E+00      8.709E-03      4.295E-03 
72.84   211.42    243.44   -4.759E-02   -8.407E-01   8.407E-01     1.176E-01     3.668E-09      0.000E+00       0.000E+00       0.000E+00      9.109E-03      4.297E-03 
72.84   756.54    206.34   -4.515E-02   -2.725E-01   2.725E-01     1.187E-01     3.301E-09      0.000E+00       0.000E+00       0.000E+00      8.894E-03      4.296E-03 
70.20   663.81    92.59   4.530E-02   -9.448E-01   9.448E-01     1.192E-01     3.574E-09      0.000E+00       0.000E+00       0.000E+00      3.987E-03      4.275E-03 
74.36   889.55    262.24   -1.874E-02   -8.608E-01   8.608E-01     1.172E-01     5.458E-10      0.000E+00       0.000E+00       0.000E+00      9.028E-03      4.297E-03 
63.98   826.88    126.28   3.770E-02   1.880E-01   -1.880E-01     1.193E-01     2.972E-09      0.000E+00       0.000E+00       0.000E+00      7.010E-03      4.288E-03 
65.16   693.90    126.30   -4.881E-02   -5.165E-01   5.165E-01     1.192E-01     4.806E-09      0.000E+00       0.000E+00       0.000E+00      8.402E-03      4.294E-03 
72.90   537.25    381.35   -4.587E-02   1.123E-01   -1.123E-01     1.193E-01     3.403E-09      0.000E+00       0.000E+00       0.000E+00      9.406E-03      4.298E-03 
73.06   589.59    394.95   -4.493E-02   -8.258E-01   8.258E-01     1.176E-01     3.250E-09      0.000E+00       0.000E+00       0.000E+00      9.417E-03      4.298E-03 
73.73   135.96    166.19   -1.121E-02   -1.054E-01   1.054E-01     1.182E-01     1.986E-10      0.000E+00       0.000E+00       0.000E+00      8.122E-03      4.293E-03 
73.64   248.05    209.69   -3.014E-02   3.872E-01   -3.872E-01     1.186E-01     1.440E-09      0.000E+00       0.000E+00       0.000E+00      8.795E-03      4.295E-03 
72.46   116.97    618.37   -4.969E-02   -8.561E-01   8.561E-01     1.189E-01     4.041E-09      0.000E+00       0.000E+00       0.000E+00      9.542E-03      4.299E-03 
75.64   154.39    494.04   2.159E-02   9.683E-01   -9.683E-01     1.188E-01     7.008E-10      0.000E+00       0.000E+00       0.000E+00      9.396E-03      4.298E-03 
63.69   511.22    348.06   -2.790E-02   -6.803E-01   6.803E-01     1.173E-01     1.643E-09      0.000E+00       0.000E+00       0.000E+00      9.422E-03      4.298E-03 
73.47   261.04    713.62   -3.757E-02   6.572E-01   -6.572E-01     1.188E-01     2.247E-09      0.000E+00       0.000E+00       0.000E+00      9.551E-03      4.299E-03 
62.59   234.78    244.22   6.470E-03   6.165E-01   -6.165E-01     1.172E-01     9.145E-11      0.000E+00       0.000E+00       0.000E+00      9.080E-03      4.297E-03 
73.17   155.72    165.98   -2.972E-02   -2.071E-01   2.071E-01     1.194E-01     1.418E-09      0.000E+00       0.000E+00       0.000E+00      8.330E-03      4.293E-03 
74.62   947.36    970.38   -1.579E-02   -3.534E-01   3.534E-01     1.190E-01     3.850E-10      0.000E+00       0.000E+00       0.000E+00      9.573E-03      4.299E-03 
63.66   935.75    919.73   -2.721E-02   5.973E-01   -5.973E-01     1.177E-01     1.564E-09      0.000E+00       0.000E+00       0.000E+00      9.590E-03      4.299E-03 
75.02   794.23    211.13   1.788E-02   9.302E-01   -9.302E-01     1.186E-01     4.882E-10      0.000E+00       0.000E+00       0.000E+00      8.463E-03      4.294E-03 
75.50   634.97    706.45   9.055E-03   -9.667E-01   9.667E-01     1.187E-01     1.237E-10      0.000E+00       0.000E+00       0.000E+00      9.517E-03      4.299E-03 
64.92   583.84    764.09   -4.463E-02   -1.131E-01   1.131E-01     1.184E-01     4.048E-09      0.000E+00       0.000E+00       0.000E+00      9.583E-03      4.299E-03 
63.57   772.02    557.85   -2.576E-02   1.731E-01   -1.731E-01     1.177E-01     1.406E-09      0.000E+00       0.000E+00       0.000E+00      9.540E-03      4.299E-03 
74.52   594.57    400.10   -1.718E-02   -6.994E-01   6.994E-01     1.187E-01     4.570E-10      0.000E+00       0.000E+00       0.000E+00      9.360E-03      4.298E-03 
64.69   759.26    621.86   -4.152E-02   7.280E-01   -7.280E-01     1.196E-01     3.529E-09      0.000E+00       0.000E+00       0.000E+00      9.563E-03      4.299E-03 
73.96   672.03    644.43   -2.933E-02   6.989E-01   -6.989E-01     1.187E-01     1.352E-09      0.000E+00       0.000E+00       0.000E+00      9.528E-03      4.299E-03 
74.75   427.17    873.52   -1.362E-02   2.827E-01   -2.827E-01     1.179E-01     2.853E-10      0.000E+00       0.000E+00       0.000E+00      9.562E-03      4.299E-03 
74.63   724.38    823.89   -1.619E-02   4.836E-01   -4.836E-01     1.181E-01     4.047E-10      0.000E+00       0.000E+00       0.000E+00      9.556E-03      4.299E-03 
63.44   366.48    872.51   2.868E-02   -7.551E-01   7.551E-01     1.191E-01     1.750E-09      0.000E+00       0.000E+00       0.000E+00      9.566E-03      4.299E-03 
72.81   514.67    836.91   -4.760E-02   8.779E-01   -8.779E-01     1.181E-01     3.672E-09      0.000E+00       0.000E+00       0.000E+00      9.575E-03      4.299E-03 
75.23   349.12    395.49   1.860E-03   -2.225E-01   2.225E-01     1.173E-01     5.259E-12      0.000E+00       0.000E+00       0.000E+00      9.312E-03      4.298E-03 
64.20   337.35    743.04   4.485E-02   4.019E-01   -4.019E-01     1.177E-01     4.179E-09      0.000E+00       0.000E+00       0.000E+00      9.536E-03      4.299E-03 
64.22   552.90    555.99   4.506E-02   -7.716E-01   7.716E-01     1.191E-01     4.215E-09      0.000E+00       0.000E+00       0.000E+00      9.471E-03      4.298E-03 
74.06   747.79    358.60   -2.799E-02   3.021E-01   -3.021E-01     1.174E-01     1.227E-09      0.000E+00       0.000E+00       0.000E+00      9.326E-03      4.298E-03 
72.97   558.13    814.01   -4.585E-02   -9.416E-01   9.416E-01     1.176E-01     3.392E-09      0.000E+00       0.000E+00       0.000E+00      9.571E-03      4.299E-03 
73.47   210.02    395.85   -3.769E-02   2.957E-01   -2.957E-01     1.187E-01     2.262E-09      0.000E+00       0.000E+00       0.000E+00      9.401E-03      4.298E-03 
73.26   357.38    133.06   1.228E-02   -9.873E-01   9.873E-01     1.184E-01     2.417E-10      0.000E+00       0.000E+00       0.000E+00      6.995E-03      4.288E-03 
74.07   940.25    794.13   -2.814E-02   2.617E-01   -2.617E-01     1.177E-01     1.241E-09      0.000E+00       0.000E+00       0.000E+00      9.558E-03      4.299E-03 
63.22   785.18    834.40   2.371E-02   2.575E-01   -2.575E-01     1.181E-01     1.204E-09      0.000E+00       0.000E+00       0.000E+00      9.563E-03      4.299E-03 
73.23   443.10    265.06   -4.130E-02   1.977E-01   -1.977E-01     1.182E-01     2.733E-09      0.000E+00       0.000E+00       0.000E+00      9.155E-03      4.297E-03 
75.03   962.55    191.75   4.458E-02   -1.574E-01   1.574E-01     1.195E-01     3.035E-09      0.000E+00       0.000E+00       0.000E+00      8.025E-03      4.292E-03 
75.46   287.95    231.57   3.976E-02   -8.371E-01   8.371E-01     1.183E-01     2.388E-09      0.000E+00       0.000E+00       0.000E+00      8.531E-03      4.294E-03 
74.82   771.56    753.84   -1.170E-02   6.599E-01   -6.599E-01     1.179E-01     2.104E-10      0.000E+00       0.000E+00       0.000E+00      9.541E-03      4.299E-03 
73.24   743.59    899.97   -4.119E-02   5.723E-02   -5.723E-02     1.186E-01     2.719E-09      0.000E+00       0.000E+00       0.000E+00      9.578E-03      4.299E-03 
71.99   999.81    130.35   -4.244E-02   8.994E-01   -8.994E-01     1.187E-01     2.985E-09      0.000E+00       0.000E+00       0.000E+00      7.844E-03      4.291E-03 
75.81   464.31    619.89   2.192E-02   9.380E-01   -9.380E-01     1.185E-01     7.191E-10      0.000E+00       0.000E+00       0.000E+00      9.476E-03      4.298E-03 
72.94   813.50    348.87   -4.573E-02   -7.889E-01   7.889E-01     1.187E-01     3.378E-09      0.000E+00       0.000E+00       0.000E+00      9.364E-03      4.298E-03 
73.78   540.39    732.39   -3.236E-02   8.224E-01   -8.224E-01     1.191E-01     1.654E-09      0.000E+00       0.000E+00       0.000E+00      9.551E-03      4.299E-03 
72.75   227.32    647.89   -4.903E-02   7.488E-01   -7.488E-01     1.174E-01     3.902E-09      0.000E+00       0.000E+00       0.000E+00      9.547E-03      4.299E-03 
64.08   415.12    151.82   -3.444E-02   -8.417E-01   8.417E-01     1.178E-01     2.473E-09      0.000E+00       0.000E+00       0.000E+00      8.655E-03      4.295E-03 
74.67   695.52    999.09   -1.561E-02   -4.290E-01   4.290E-01     1.177E-01     3.755E-10      0.000E+00       0.000E+00       0.000E+00      9.576E-03      4.299E-03 
73.86   242.78    191.40   -2.198E-02   1.816E-01   -1.816E-01     1.177E-01     7.613E-10      0.000E+00       0.000E+00       0.000E+00      8.561E-03      4.294E-03 
75.82   711.26    474.75   2.476E-02   8.932E-01   -8.932E-01     1.190E-01     9.170E-10      0.000E+00       0.000E+00       0.000E+00      9.373E-03      4.298E-03 
63.60   829.94    773.12   -2.641E-02   3.819E-01   -3.819E-01     1.173E-01     1.477E-09      0.000E+00       0.000E+00       0.000E+00      9.578E-03      4.299E-03 
76.00   427.09    417.00   3.815E-02   9.774E-01   -9.774E-01     1.194E-01     2.168E-09      0.000E+00       0.000E+00       0.000E+00      9.277E-03      4.298E-03 
64.33   631.73    637.73   -3.689E-02   -7.930E-01   7.930E-01     1.193E-01     2.817E-09      0.000E+00       0.000E+00       0.000E+00      9.564E-03      4.299E-03 
73.05   488.34    182.22   -3.872E-02   8.390E-01   -8.390E-01     1.187E-01     2.414E-09      0.000E+00       0.000E+00       0.000E+00      8.628E-03      4.295E-03 
72.09   86.06    325.37   -2.112E-02   -1.283E-01   1.283E-01     1.187E-01     7.370E-10      0.000E+00       0.000E+00       0.000E+00      9.271E-03      4.298E-03 
75.01   105.83    665.62   6.294E-03   -1.318E-01   1.318E-01     1.182E-01     6.054E-11      0.000E+00       0.000E+00       0.000E+00      9.508E-03      4.299E-03 
75.83   435.97    493.97   2.486E-02   -1.777E-01   1.777E-01     1.187E-01     9.248E-10      0.000E+00       0.000E+00       0.000E+00      9.391E-03      4.298E-03 
