 Mv1      Mv2        Mvp         lamL         Omega        protonSI      sv-WW          Br(H->v1v1)     Br(H->v2v2)     Br(H->v-v+)      Br(H->AA)      Width_H   
78.00    79.00    79.00     -1.000E+00     1.406E-03     1.415E-06     1.193E-24      0.000E+00      0.000E+00        0.000E+00       1.010E-01      4.736E-03
79.00    80.00    80.00     -1.000E+00     1.233E-03     1.380E-06     1.588E-24      0.000E+00      0.000E+00        0.000E+00       9.622E-02      4.711E-03
80.00    81.00    81.00     -1.000E+00     1.042E-03     1.346E-06     2.426E-24      0.000E+00      0.000E+00        0.000E+00       9.173E-02      4.688E-03
81.00    82.00    82.00     -1.000E+00     9.168E-04     1.313E-06     3.935E-24      0.000E+00      0.000E+00        0.000E+00       8.754E-02      4.666E-03
82.00    83.00    83.00     -1.000E+00     8.515E-04     1.282E-06     5.177E-24      0.000E+00      0.000E+00        0.000E+00       8.363E-02      4.646E-03
83.00    84.00    84.00     -1.000E+00     8.216E-04     1.251E-06     5.958E-24      0.000E+00      0.000E+00        0.000E+00       7.997E-02      4.628E-03
84.00    85.00    85.00     -1.000E+00     8.087E-04     1.222E-06     6.407E-24      0.000E+00      0.000E+00        0.000E+00       7.654E-02      4.611E-03
85.00    86.00    86.00     -1.000E+00     8.112E-04     1.194E-06     7.021E-24      0.000E+00      0.000E+00        0.000E+00       7.332E-02      4.595E-03
86.00    87.00    87.00     -1.000E+00     8.149E-04     1.166E-06     7.046E-24      0.000E+00      0.000E+00        0.000E+00       7.029E-02      4.580E-03
87.00    88.00    88.00     -1.000E+00     8.225E-04     1.140E-06     6.980E-24      0.000E+00      0.000E+00        0.000E+00       6.744E-02      4.566E-03
88.00    89.00    89.00     -1.000E+00     8.297E-04     1.114E-06     6.847E-24      0.000E+00      0.000E+00        0.000E+00       6.476E-02      4.553E-03
89.00    90.00    90.00     -1.000E+00     8.330E-04     1.090E-06     6.670E-24      0.000E+00      0.000E+00        0.000E+00       6.224E-02      4.540E-03
90.00    91.00    91.00     -1.000E+00     8.254E-04     1.066E-06     6.447E-24      0.000E+00      0.000E+00        0.000E+00       5.985E-02      4.529E-03
91.00    92.00    92.00     -1.000E+00     8.112E-04     1.043E-06     6.228E-24      0.000E+00      0.000E+00        0.000E+00       5.760E-02      4.518E-03
92.00    93.00    93.00     -1.000E+00     8.003E-04     1.021E-06     6.113E-24      0.000E+00      0.000E+00        0.000E+00       5.547E-02      4.508E-03
93.00    94.00    94.00     -1.000E+00     7.974E-04     9.990E-07     6.014E-24      0.000E+00      0.000E+00        0.000E+00       5.345E-02      4.498E-03
94.00    95.00    95.00     -1.000E+00     8.006E-04     9.780E-07     5.904E-24      0.000E+00      0.000E+00        0.000E+00       5.155E-02      4.489E-03
95.00    96.00    96.00     -1.000E+00     8.078E-04     9.577E-07     5.804E-24      0.000E+00      0.000E+00        0.000E+00       4.974E-02      4.481E-03
96.00    97.00    97.00     -1.000E+00     8.174E-04     9.381E-07     5.798E-24      0.000E+00      0.000E+00        0.000E+00       4.802E-02      4.472E-03
97.00    98.00    98.00     -1.000E+00     8.303E-04     9.190E-07     5.685E-24      0.000E+00      0.000E+00        0.000E+00       4.639E-02      4.465E-03
98.00    99.00    99.00     -1.000E+00     8.422E-04     9.005E-07     5.559E-24      0.000E+00      0.000E+00        0.000E+00       4.484E-02      4.458E-03
99.00    100.00    100.00     -1.000E+00     8.528E-04     8.826E-07     5.435E-24      0.000E+00      0.000E+00        0.000E+00       4.337E-02      4.451E-03
100.00    101.00    101.00     -1.000E+00     8.606E-04     8.652E-07     5.312E-24      0.000E+00      0.000E+00        0.000E+00       4.197E-02      4.444E-03
101.00    102.00    102.00     -1.000E+00     8.642E-04     8.483E-07     5.193E-24      0.000E+00      0.000E+00        0.000E+00       4.064E-02      4.438E-03
102.00    103.00    103.00     -1.000E+00     8.637E-04     8.319E-07     5.076E-24      0.000E+00      0.000E+00        0.000E+00       3.937E-02      4.432E-03
103.00    104.00    104.00     -1.000E+00     8.613E-04     8.160E-07     4.958E-24      0.000E+00      0.000E+00        0.000E+00       3.816E-02      4.427E-03
104.00    105.00    105.00     -1.000E+00     8.583E-04     8.005E-07     4.841E-24      0.000E+00      0.000E+00        0.000E+00       3.700E-02      4.421E-03
105.00    106.00    106.00     -1.000E+00     8.549E-04     7.855E-07     4.730E-24      0.000E+00      0.000E+00        0.000E+00       3.590E-02      4.416E-03
106.00    107.00    107.00     -1.000E+00     8.512E-04     7.708E-07     4.626E-24      0.000E+00      0.000E+00        0.000E+00       3.485E-02      4.411E-03
107.00    108.00    108.00     -1.000E+00     8.470E-04     7.566E-07     4.528E-24      0.000E+00      0.000E+00        0.000E+00       3.384E-02      4.407E-03
108.00    109.00    109.00     -1.000E+00     8.428E-04     7.428E-07     4.436E-24      0.000E+00      0.000E+00        0.000E+00       3.288E-02      4.402E-03
109.00    110.00    110.00     -1.000E+00     8.399E-04     7.294E-07     4.347E-24      0.000E+00      0.000E+00        0.000E+00       3.196E-02      4.398E-03
110.00    111.00    111.00     -1.000E+00     8.379E-04     7.163E-07     4.262E-24      0.000E+00      0.000E+00        0.000E+00       3.107E-02      4.394E-03
111.00    112.00    112.00     -1.000E+00     8.361E-04     7.035E-07     4.186E-24      0.000E+00      0.000E+00        0.000E+00       3.023E-02      4.390E-03
112.00    113.00    113.00     -1.000E+00     8.346E-04     6.911E-07     4.119E-24      0.000E+00      0.000E+00        0.000E+00       2.942E-02      4.387E-03
113.00    114.00    114.00     -1.000E+00     8.352E-04     6.790E-07     4.045E-24      0.000E+00      0.000E+00        0.000E+00       2.864E-02      4.383E-03
114.00    115.00    115.00     -1.000E+00     8.360E-04     6.673E-07     3.971E-24      0.000E+00      0.000E+00        0.000E+00       2.790E-02      4.380E-03
