 Mv1      Mv2        Mvp         lamL         Omega        protonSI      sv-WW          Br(H->v1v1)     Br(H->v2v2)     Br(H->v-v+)      Br(H->AA)      Width_H   
74.00    75.00    75.00     1.000E-02     3.536E-03     1.570E-10     5.794E-26      0.000E+00      0.000E+00        0.000E+00       2.133E-03      4.267E-03
75.00    76.00    76.00     1.000E-02     3.594E-03     1.529E-10     7.493E-26      0.000E+00      0.000E+00        0.000E+00       2.140E-03      4.267E-03
76.00    77.00    77.00     1.000E-02     3.617E-03     1.489E-10     9.967E-26      0.000E+00      0.000E+00        0.000E+00       2.146E-03      4.267E-03
77.00    78.00    78.00     1.000E-02     3.564E-03     1.451E-10     1.382E-25      0.000E+00      0.000E+00        0.000E+00       2.153E-03      4.267E-03
78.00    79.00    79.00     1.000E-02     3.384E-03     1.415E-10     2.035E-25      0.000E+00      0.000E+00        0.000E+00       2.159E-03      4.267E-03
79.00    80.00    80.00     1.000E-02     3.015E-03     1.380E-10     3.362E-25      0.000E+00      0.000E+00        0.000E+00       2.164E-03      4.267E-03
80.00    81.00    81.00     1.000E-02     2.567E-03     1.346E-10     6.491E-25      0.000E+00      0.000E+00        0.000E+00       2.169E-03      4.267E-03
81.00    82.00    82.00     1.000E-02     2.255E-03     1.313E-10     1.265E-24      0.000E+00      0.000E+00        0.000E+00       2.174E-03      4.267E-03
82.00    83.00    83.00     1.000E-02     2.085E-03     1.282E-10     1.787E-24      0.000E+00      0.000E+00        0.000E+00       2.179E-03      4.267E-03
83.00    84.00    84.00     1.000E-02     1.992E-03     1.251E-10     2.132E-24      0.000E+00      0.000E+00        0.000E+00       2.184E-03      4.267E-03
84.00    85.00    85.00     1.000E-02     1.935E-03     1.222E-10     2.385E-24      0.000E+00      0.000E+00        0.000E+00       2.188E-03      4.267E-03
85.00    86.00    86.00     1.000E-02     1.888E-03     1.194E-10     2.711E-24      0.000E+00      0.000E+00        0.000E+00       2.192E-03      4.267E-03
86.00    87.00    87.00     1.000E-02     1.868E-03     1.166E-10     2.758E-24      0.000E+00      0.000E+00        0.000E+00       2.196E-03      4.267E-03
87.00    88.00    88.00     1.000E-02     1.864E-03     1.140E-10     2.761E-24      0.000E+00      0.000E+00        0.000E+00       2.200E-03      4.267E-03
88.00    89.00    89.00     1.000E-02     1.860E-03     1.114E-10     2.728E-24      0.000E+00      0.000E+00        0.000E+00       2.203E-03      4.267E-03
89.00    90.00    90.00     1.000E-02     1.848E-03     1.090E-10     2.671E-24      0.000E+00      0.000E+00        0.000E+00       2.207E-03      4.267E-03
90.00    91.00    91.00     1.000E-02     1.808E-03     1.066E-10     2.582E-24      0.000E+00      0.000E+00        0.000E+00       2.210E-03      4.267E-03
91.00    92.00    92.00     1.000E-02     1.747E-03     1.043E-10     2.502E-24      0.000E+00      0.000E+00        0.000E+00       2.213E-03      4.267E-03
92.00    93.00    93.00     1.000E-02     1.694E-03     1.021E-10     2.493E-24      0.000E+00      0.000E+00        0.000E+00       2.216E-03      4.267E-03
93.00    94.00    94.00     1.000E-02     1.666E-03     9.990E-11     2.486E-24      0.000E+00      0.000E+00        0.000E+00       2.219E-03      4.267E-03
94.00    95.00    95.00     1.000E-02     1.657E-03     9.780E-11     2.465E-24      0.000E+00      0.000E+00        0.000E+00       2.221E-03      4.267E-03
95.00    96.00    96.00     1.000E-02     1.660E-03     9.577E-11     2.433E-24      0.000E+00      0.000E+00        0.000E+00       2.224E-03      4.267E-03
96.00    97.00    97.00     1.000E-02     1.673E-03     9.381E-11     2.493E-24      0.000E+00      0.000E+00        0.000E+00       2.226E-03      4.267E-03
97.00    98.00    98.00     1.000E-02     1.691E-03     9.190E-11     2.439E-24      0.000E+00      0.000E+00        0.000E+00       2.229E-03      4.267E-03
98.00    99.00    99.00     1.000E-02     1.717E-03     9.005E-11     2.395E-24      0.000E+00      0.000E+00        0.000E+00       2.231E-03      4.267E-03
99.00    100.00    100.00     1.000E-02     1.746E-03     8.826E-11     2.348E-24      0.000E+00      0.000E+00        0.000E+00       2.233E-03      4.267E-03
100.00    101.00    101.00     1.000E-02     1.777E-03     8.652E-11     2.301E-24      0.000E+00      0.000E+00        0.000E+00       2.235E-03      4.267E-03
101.00    102.00    102.00     1.000E-02     1.810E-03     8.483E-11     2.254E-24      0.000E+00      0.000E+00        0.000E+00       2.238E-03      4.267E-03
102.00    103.00    103.00     1.000E-02     1.844E-03     8.319E-11     2.206E-24      0.000E+00      0.000E+00        0.000E+00       2.239E-03      4.267E-03
103.00    104.00    104.00     1.000E-02     1.878E-03     8.160E-11     2.156E-24      0.000E+00      0.000E+00        0.000E+00       2.241E-03      4.267E-03
104.00    105.00    105.00     1.000E-02     1.913E-03     8.005E-11     2.105E-24      0.000E+00      0.000E+00        0.000E+00       2.243E-03      4.267E-03
105.00    106.00    106.00     1.000E-02     1.949E-03     7.855E-11     2.057E-24      0.000E+00      0.000E+00        0.000E+00       2.245E-03      4.267E-03
106.00    107.00    107.00     1.000E-02     1.987E-03     7.708E-11     2.011E-24      0.000E+00      0.000E+00        0.000E+00       2.247E-03      4.267E-03
107.00    108.00    108.00     1.000E-02     2.026E-03     7.566E-11     1.968E-24      0.000E+00      0.000E+00        0.000E+00       2.248E-03      4.267E-03
108.00    109.00    109.00     1.000E-02     2.065E-03     7.428E-11     1.928E-24      0.000E+00      0.000E+00        0.000E+00       2.250E-03      4.267E-03
109.00    110.00    110.00     1.000E-02     2.106E-03     7.294E-11     1.888E-24      0.000E+00      0.000E+00        0.000E+00       2.251E-03      4.267E-03
