 Mv1      Mv2        Mvp         lamL         Omega        protonSI     Br(H->v1v1)     Br(H->v2v2)     Br(H->v-v+)      Br(H->AA)      Width_H   
4050.00    4051.00    4051.00     1.260E+01     1.551E-02     8.528E-08      0.000E+00      0.000E+00        0.000E+00       2.178E-03      4.267E-03
4100.00    4101.00    4101.00     1.260E+01     1.591E-02     8.322E-08      0.000E+00      0.000E+00        0.000E+00       2.181E-03      4.267E-03
4150.00    4151.00    4151.00     1.260E+01     1.631E-02     8.123E-08      0.000E+00      0.000E+00        0.000E+00       2.183E-03      4.267E-03
4200.00    4201.00    4201.00     1.260E+01     1.672E-02     7.930E-08      0.000E+00      0.000E+00        0.000E+00       2.186E-03      4.267E-03
4250.00    4251.00    4251.00     1.260E+01     1.713E-02     7.745E-08      0.000E+00      0.000E+00        0.000E+00       2.188E-03      4.267E-03
4300.00    4301.00    4301.00     1.260E+01     1.755E-02     7.566E-08      0.000E+00      0.000E+00        0.000E+00       2.190E-03      4.267E-03
4350.00    4351.00    4351.00     1.260E+01     1.797E-02     7.393E-08      0.000E+00      0.000E+00        0.000E+00       2.192E-03      4.267E-03
4400.00    4401.00    4401.00     1.260E+01     1.839E-02     7.226E-08      0.000E+00      0.000E+00        0.000E+00       2.194E-03      4.267E-03
4450.00    4451.00    4451.00     1.260E+01     1.883E-02     7.064E-08      0.000E+00      0.000E+00        0.000E+00       2.196E-03      4.267E-03
4500.00    4501.00    4501.00     1.260E+01     1.926E-02     6.908E-08      0.000E+00      0.000E+00        0.000E+00       2.198E-03      4.267E-03
4550.00    4551.00    4551.00     1.260E+01     1.970E-02     6.757E-08      0.000E+00      0.000E+00        0.000E+00       2.200E-03      4.267E-03
4600.00    4601.00    4601.00     1.260E+01     2.015E-02     6.611E-08      0.000E+00      0.000E+00        0.000E+00       2.202E-03      4.267E-03
4650.00    4651.00    4651.00     1.260E+01     2.060E-02     6.470E-08      0.000E+00      0.000E+00        0.000E+00       2.204E-03      4.267E-03
4700.00    4701.00    4701.00     1.260E+01     2.106E-02     6.333E-08      0.000E+00      0.000E+00        0.000E+00       2.205E-03      4.267E-03
4750.00    4751.00    4751.00     1.260E+01     2.152E-02     6.200E-08      0.000E+00      0.000E+00        0.000E+00       2.207E-03      4.267E-03
4800.00    4801.00    4801.00     1.260E+01     2.199E-02     6.072E-08      0.000E+00      0.000E+00        0.000E+00       2.208E-03      4.267E-03
4850.00    4851.00    4851.00     1.260E+01     2.246E-02     5.947E-08      0.000E+00      0.000E+00        0.000E+00       2.210E-03      4.267E-03
4900.00    4901.00    4901.00     1.260E+01     2.294E-02     5.827E-08      0.000E+00      0.000E+00        0.000E+00       2.212E-03      4.267E-03
4950.00    4951.00    4951.00     1.260E+01     2.342E-02     5.710E-08      0.000E+00      0.000E+00        0.000E+00       2.213E-03      4.267E-03
5000.00    5001.00    5001.00     1.260E+01     2.390E-02     5.596E-08      0.000E+00      0.000E+00        0.000E+00       2.214E-03      4.267E-03
5050.00    5051.00    5051.00     1.260E+01     2.439E-02     5.486E-08      0.000E+00      0.000E+00        0.000E+00       2.216E-03      4.267E-03
5100.00    5101.00    5101.00     1.260E+01     2.489E-02     5.379E-08      0.000E+00      0.000E+00        0.000E+00       2.217E-03      4.267E-03
5150.00    5151.00    5151.00     1.260E+01     2.539E-02     5.275E-08      0.000E+00      0.000E+00        0.000E+00       2.218E-03      4.267E-03
5200.00    5201.00    5201.00     1.260E+01     2.590E-02     5.174E-08      0.000E+00      0.000E+00        0.000E+00       2.220E-03      4.267E-03
5250.00    5251.00    5251.00     1.260E+01     2.641E-02     5.076E-08      0.000E+00      0.000E+00        0.000E+00       2.221E-03      4.267E-03
5300.00    5301.00    5301.00     1.260E+01     2.693E-02     4.981E-08      0.000E+00      0.000E+00        0.000E+00       2.222E-03      4.267E-03
5350.00    5351.00    5351.00     1.260E+01     2.745E-02     4.888E-08      0.000E+00      0.000E+00        0.000E+00       2.223E-03      4.267E-03
5400.00    5401.00    5401.00     1.260E+01     2.798E-02     4.798E-08      0.000E+00      0.000E+00        0.000E+00       2.224E-03      4.267E-03
5450.00    5451.00    5451.00     1.260E+01     2.851E-02     4.710E-08      0.000E+00      0.000E+00        0.000E+00       2.225E-03      4.267E-03
5500.00    5501.00    5501.00     1.260E+01     2.904E-02     4.625E-08      0.000E+00      0.000E+00        0.000E+00       2.226E-03      4.267E-03
5550.00    5551.00    5551.00     1.260E+01     2.959E-02     4.542E-08      0.000E+00      0.000E+00        0.000E+00       2.227E-03      4.267E-03
5600.00    5601.00    5601.00     1.260E+01     3.013E-02     4.461E-08      0.000E+00      0.000E+00        0.000E+00       2.228E-03      4.267E-03
5650.00    5651.00    5651.00     1.260E+01     3.068E-02     4.383E-08      0.000E+00      0.000E+00        0.000E+00       2.229E-03      4.267E-03
5700.00    5701.00    5701.00     1.260E+01     3.124E-02     4.306E-08      0.000E+00      0.000E+00        0.000E+00       2.230E-03      4.267E-03
5750.00    5751.00    5751.00     1.260E+01     3.180E-02     4.232E-08      0.000E+00      0.000E+00        0.000E+00       2.231E-03      4.267E-03
5800.00    5801.00    5801.00     1.260E+01     3.237E-02     4.159E-08      0.000E+00      0.000E+00        0.000E+00       2.232E-03      4.267E-03
5850.00    5851.00    5851.00     1.260E+01     3.294E-02     4.088E-08      0.000E+00      0.000E+00        0.000E+00       2.233E-03      4.267E-03
5900.00    5901.00    5901.00     1.260E+01     3.352E-02     4.019E-08      0.000E+00      0.000E+00        0.000E+00       2.234E-03      4.267E-03
5950.00    5951.00    5951.00     1.260E+01     3.410E-02     3.952E-08      0.000E+00      0.000E+00        0.000E+00       2.235E-03      4.267E-03
6000.00    6001.00    6001.00     1.260E+01     3.469E-02     3.886E-08      0.000E+00      0.000E+00        0.000E+00       2.236E-03      4.267E-03
6050.00    6051.00    6051.00     1.260E+01     3.528E-02     3.822E-08      0.000E+00      0.000E+00        0.000E+00       2.236E-03      4.267E-03
6100.00    6101.00    6101.00     1.260E+01     3.588E-02     3.760E-08      0.000E+00      0.000E+00        0.000E+00       2.237E-03      4.267E-03
6150.00    6151.00    6151.00     1.260E+01     3.648E-02     3.699E-08      0.000E+00      0.000E+00        0.000E+00       2.238E-03      4.267E-03
6200.00    6201.00    6201.00     1.260E+01     3.709E-02     3.640E-08      0.000E+00      0.000E+00        0.000E+00       2.239E-03      4.267E-03
6250.00    6251.00    6251.00     1.260E+01     3.770E-02     3.582E-08      0.000E+00      0.000E+00        0.000E+00       2.239E-03      4.267E-03
6300.00    6301.00    6301.00     1.260E+01     3.832E-02     3.525E-08      0.000E+00      0.000E+00        0.000E+00       2.240E-03      4.267E-03
6350.00    6351.00    6351.00     1.260E+01     3.894E-02     3.470E-08      0.000E+00      0.000E+00        0.000E+00       2.241E-03      4.267E-03
6400.00    6401.00    6401.00     1.260E+01     3.957E-02     3.416E-08      0.000E+00      0.000E+00        0.000E+00       2.241E-03      4.267E-03
6450.00    6451.00    6451.00     1.260E+01     4.020E-02     3.363E-08      0.000E+00      0.000E+00        0.000E+00       2.242E-03      4.267E-03
6500.00    6501.00    6501.00     1.260E+01     4.084E-02     3.312E-08      0.000E+00      0.000E+00        0.000E+00       2.243E-03      4.267E-03
6550.00    6551.00    6551.00     1.260E+01     4.148E-02     3.261E-08      0.000E+00      0.000E+00        0.000E+00       2.243E-03      4.267E-03
6600.00    6601.00    6601.00     1.260E+01     4.213E-02     3.212E-08      0.000E+00      0.000E+00        0.000E+00       2.244E-03      4.267E-03
