 Mv1      Mv2        Mvp         lamL         Omega        protonSI     Br(H->v1v1)     Br(H->v2v2)     Br(H->v-v+)      Br(H->AA)      Width_H   
4350.00    4351.00    4351.00     1.000E+01     2.848E-02     4.657E-08      0.000E+00      0.000E+00        0.000E+00       2.211E-03      4.267E-03
4400.00    4401.00    4401.00     1.000E+01     2.915E-02     4.551E-08      0.000E+00      0.000E+00        0.000E+00       2.213E-03      4.267E-03
4450.00    4451.00    4451.00     1.000E+01     2.983E-02     4.450E-08      0.000E+00      0.000E+00        0.000E+00       2.214E-03      4.267E-03
4500.00    4501.00    4501.00     1.000E+01     3.053E-02     4.351E-08      0.000E+00      0.000E+00        0.000E+00       2.216E-03      4.267E-03
4550.00    4551.00    4551.00     1.000E+01     3.123E-02     4.256E-08      0.000E+00      0.000E+00        0.000E+00       2.218E-03      4.267E-03
4600.00    4601.00    4601.00     1.000E+01     3.194E-02     4.164E-08      0.000E+00      0.000E+00        0.000E+00       2.219E-03      4.267E-03
4650.00    4651.00    4651.00     1.000E+01     3.266E-02     4.075E-08      0.000E+00      0.000E+00        0.000E+00       2.220E-03      4.267E-03
4700.00    4701.00    4701.00     1.000E+01     3.338E-02     3.989E-08      0.000E+00      0.000E+00        0.000E+00       2.222E-03      4.267E-03
4750.00    4751.00    4751.00     1.000E+01     3.411E-02     3.906E-08      0.000E+00      0.000E+00        0.000E+00       2.223E-03      4.267E-03
4800.00    4801.00    4801.00     1.000E+01     3.485E-02     3.825E-08      0.000E+00      0.000E+00        0.000E+00       2.224E-03      4.267E-03
4850.00    4851.00    4851.00     1.000E+01     3.560E-02     3.746E-08      0.000E+00      0.000E+00        0.000E+00       2.225E-03      4.267E-03
4900.00    4901.00    4901.00     1.000E+01     3.635E-02     3.670E-08      0.000E+00      0.000E+00        0.000E+00       2.227E-03      4.267E-03
4950.00    4951.00    4951.00     1.000E+01     3.712E-02     3.596E-08      0.000E+00      0.000E+00        0.000E+00       2.228E-03      4.267E-03
5000.00    5001.00    5001.00     1.000E+01     3.789E-02     3.525E-08      0.000E+00      0.000E+00        0.000E+00       2.229E-03      4.267E-03
5050.00    5051.00    5051.00     1.000E+01     3.867E-02     3.455E-08      0.000E+00      0.000E+00        0.000E+00       2.230E-03      4.267E-03
5100.00    5101.00    5101.00     1.000E+01     3.946E-02     3.388E-08      0.000E+00      0.000E+00        0.000E+00       2.231E-03      4.267E-03
5150.00    5151.00    5151.00     1.000E+01     4.025E-02     3.323E-08      0.000E+00      0.000E+00        0.000E+00       2.232E-03      4.267E-03
5200.00    5201.00    5201.00     1.000E+01     4.106E-02     3.259E-08      0.000E+00      0.000E+00        0.000E+00       2.233E-03      4.267E-03
5250.00    5251.00    5251.00     1.000E+01     4.187E-02     3.197E-08      0.000E+00      0.000E+00        0.000E+00       2.234E-03      4.267E-03
5300.00    5301.00    5301.00     1.000E+01     4.269E-02     3.137E-08      0.000E+00      0.000E+00        0.000E+00       2.235E-03      4.267E-03
5350.00    5351.00    5351.00     1.000E+01     4.352E-02     3.079E-08      0.000E+00      0.000E+00        0.000E+00       2.236E-03      4.267E-03
5400.00    5401.00    5401.00     1.000E+01     4.435E-02     3.022E-08      0.000E+00      0.000E+00        0.000E+00       2.237E-03      4.267E-03
5450.00    5451.00    5451.00     1.000E+01     4.520E-02     2.967E-08      0.000E+00      0.000E+00        0.000E+00       2.238E-03      4.267E-03
5500.00    5501.00    5501.00     1.000E+01     4.605E-02     2.913E-08      0.000E+00      0.000E+00        0.000E+00       2.238E-03      4.267E-03
5550.00    5551.00    5551.00     1.000E+01     4.691E-02     2.861E-08      0.000E+00      0.000E+00        0.000E+00       2.239E-03      4.267E-03
5600.00    5601.00    5601.00     1.000E+01     4.778E-02     2.810E-08      0.000E+00      0.000E+00        0.000E+00       2.240E-03      4.267E-03
5650.00    5651.00    5651.00     1.000E+01     4.866E-02     2.761E-08      0.000E+00      0.000E+00        0.000E+00       2.241E-03      4.267E-03
5700.00    5701.00    5701.00     1.000E+01     4.954E-02     2.712E-08      0.000E+00      0.000E+00        0.000E+00       2.242E-03      4.267E-03
5750.00    5751.00    5751.00     1.000E+01     5.043E-02     2.665E-08      0.000E+00      0.000E+00        0.000E+00       2.242E-03      4.267E-03
5800.00    5801.00    5801.00     1.000E+01     5.134E-02     2.620E-08      0.000E+00      0.000E+00        0.000E+00       2.243E-03      4.267E-03
5850.00    5851.00    5851.00     1.000E+01     5.224E-02     2.575E-08      0.000E+00      0.000E+00        0.000E+00       2.244E-03      4.267E-03
5900.00    5901.00    5901.00     1.000E+01     5.316E-02     2.532E-08      0.000E+00      0.000E+00        0.000E+00       2.244E-03      4.267E-03
5950.00    5951.00    5951.00     1.000E+01     5.409E-02     2.489E-08      0.000E+00      0.000E+00        0.000E+00       2.245E-03      4.267E-03
6000.00    6001.00    6001.00     1.000E+01     5.502E-02     2.448E-08      0.000E+00      0.000E+00        0.000E+00       2.246E-03      4.267E-03
6050.00    6051.00    6051.00     1.000E+01     5.596E-02     2.408E-08      0.000E+00      0.000E+00        0.000E+00       2.246E-03      4.267E-03
6100.00    6101.00    6101.00     1.000E+01     5.691E-02     2.368E-08      0.000E+00      0.000E+00        0.000E+00       2.247E-03      4.267E-03
6150.00    6151.00    6151.00     1.000E+01     5.787E-02     2.330E-08      0.000E+00      0.000E+00        0.000E+00       2.248E-03      4.267E-03
6200.00    6201.00    6201.00     1.000E+01     5.884E-02     2.293E-08      0.000E+00      0.000E+00        0.000E+00       2.248E-03      4.267E-03
6250.00    6251.00    6251.00     1.000E+01     5.982E-02     2.256E-08      0.000E+00      0.000E+00        0.000E+00       2.249E-03      4.267E-03
6300.00    6301.00    6301.00     1.000E+01     6.080E-02     2.220E-08      0.000E+00      0.000E+00        0.000E+00       2.249E-03      4.267E-03
6350.00    6351.00    6351.00     1.000E+01     6.179E-02     2.186E-08      0.000E+00      0.000E+00        0.000E+00       2.250E-03      4.267E-03
6400.00    6401.00    6401.00     1.000E+01     6.279E-02     2.152E-08      0.000E+00      0.000E+00        0.000E+00       2.250E-03      4.267E-03
6450.00    6451.00    6451.00     1.000E+01     6.380E-02     2.118E-08      0.000E+00      0.000E+00        0.000E+00       2.251E-03      4.267E-03
6500.00    6501.00    6501.00     1.000E+01     6.481E-02     2.086E-08      0.000E+00      0.000E+00        0.000E+00       2.251E-03      4.267E-03
6550.00    6551.00    6551.00     1.000E+01     6.584E-02     2.054E-08      0.000E+00      0.000E+00        0.000E+00       2.252E-03      4.267E-03
6600.00    6601.00    6601.00     1.000E+01     6.687E-02     2.023E-08      0.000E+00      0.000E+00        0.000E+00       2.252E-03      4.267E-03
6650.00    6651.00    6651.00     1.000E+01     6.791E-02     1.993E-08      0.000E+00      0.000E+00        0.000E+00       2.253E-03      4.267E-03
6700.00    6701.00    6701.00     1.000E+01     6.896E-02     1.963E-08      0.000E+00      0.000E+00        0.000E+00       2.253E-03      4.267E-03
6750.00    6751.00    6751.00     1.000E+01     7.002E-02     1.934E-08      0.000E+00      0.000E+00        0.000E+00       2.254E-03      4.267E-03
6800.00    6801.00    6801.00     1.000E+01     7.109E-02     1.906E-08      0.000E+00      0.000E+00        0.000E+00       2.254E-03      4.267E-03
6850.00    6851.00    6851.00     1.000E+01     7.216E-02     1.878E-08      0.000E+00      0.000E+00        0.000E+00       2.255E-03      4.267E-03
6900.00    6901.00    6901.00     1.000E+01     7.325E-02     1.851E-08      0.000E+00      0.000E+00        0.000E+00       2.255E-03      4.267E-03
6950.00    6951.00    6951.00     1.000E+01     7.434E-02     1.825E-08      0.000E+00      0.000E+00        0.000E+00       2.255E-03      4.267E-03
7000.00    7001.00    7001.00     1.000E+01     7.544E-02     1.799E-08      0.000E+00      0.000E+00        0.000E+00       2.256E-03      4.267E-03
7050.00    7051.00    7051.00     1.000E+01     7.655E-02     1.773E-08      0.000E+00      0.000E+00        0.000E+00       2.256E-03      4.267E-03
7100.00    7101.00    7101.00     1.000E+01     7.766E-02     1.748E-08      0.000E+00      0.000E+00        0.000E+00       2.257E-03      4.267E-03
7150.00    7151.00    7151.00     1.000E+01     7.879E-02     1.724E-08      0.000E+00      0.000E+00        0.000E+00       2.257E-03      4.267E-03
7200.00    7201.00    7201.00     1.000E+01     7.992E-02     1.700E-08      0.000E+00      0.000E+00        0.000E+00       2.257E-03      4.267E-03
7250.00    7251.00    7251.00     1.000E+01     8.106E-02     1.677E-08      0.000E+00      0.000E+00        0.000E+00       2.258E-03      4.267E-03
7300.00    7301.00    7301.00     1.000E+01     8.222E-02     1.654E-08      0.000E+00      0.000E+00        0.000E+00       2.258E-03      4.267E-03
7350.00    7351.00    7351.00     1.000E+01     8.337E-02     1.631E-08      0.000E+00      0.000E+00        0.000E+00       2.258E-03      4.267E-03
7400.00    7401.00    7401.00     1.000E+01     8.454E-02     1.609E-08      0.000E+00      0.000E+00        0.000E+00       2.259E-03      4.267E-03
7450.00    7451.00    7451.00     1.000E+01     8.572E-02     1.588E-08      0.000E+00      0.000E+00        0.000E+00       2.259E-03      4.267E-03
7500.00    7501.00    7501.00     1.000E+01     8.690E-02     1.567E-08      0.000E+00      0.000E+00        0.000E+00       2.259E-03      4.267E-03
7550.00    7551.00    7551.00     1.000E+01     8.809E-02     1.546E-08      0.000E+00      0.000E+00        0.000E+00       2.260E-03      4.267E-03
7600.00    7601.00    7601.00     1.000E+01     8.930E-02     1.526E-08      0.000E+00      0.000E+00        0.000E+00       2.260E-03      4.267E-03
7650.00    7651.00    7651.00     1.000E+01     9.051E-02     1.506E-08      0.000E+00      0.000E+00        0.000E+00       2.260E-03      4.267E-03
7700.00    7701.00    7701.00     1.000E+01     9.172E-02     1.486E-08      0.000E+00      0.000E+00        0.000E+00       2.261E-03      4.267E-03
7750.00    7751.00    7751.00     1.000E+01     9.295E-02     1.467E-08      0.000E+00      0.000E+00        0.000E+00       2.261E-03      4.267E-03
7800.00    7801.00    7801.00     1.000E+01     9.419E-02     1.449E-08      0.000E+00      0.000E+00        0.000E+00       2.261E-03      4.267E-03
7850.00    7851.00    7851.00     1.000E+01     9.543E-02     1.430E-08      0.000E+00      0.000E+00        0.000E+00       2.262E-03      4.267E-03
7900.00    7901.00    7901.00     1.000E+01     9.668E-02     1.412E-08      0.000E+00      0.000E+00        0.000E+00       2.262E-03      4.267E-03
7950.00    7951.00    7951.00     1.000E+01     9.794E-02     1.394E-08      0.000E+00      0.000E+00        0.000E+00       2.262E-03      4.267E-03
8000.00    8001.00    8001.00     1.000E+01     9.921E-02     1.377E-08      0.000E+00      0.000E+00        0.000E+00       2.262E-03      4.267E-03
8050.00    8051.00    8051.00     1.000E+01     1.005E-01     1.360E-08      0.000E+00      0.000E+00        0.000E+00       2.263E-03      4.267E-03
8100.00    8101.00    8101.00     1.000E+01     1.018E-01     1.343E-08      0.000E+00      0.000E+00        0.000E+00       2.263E-03      4.267E-03
8150.00    8151.00    8151.00     1.000E+01     1.031E-01     1.327E-08      0.000E+00      0.000E+00        0.000E+00       2.263E-03      4.267E-03
8200.00    8201.00    8201.00     1.000E+01     1.044E-01     1.311E-08      0.000E+00      0.000E+00        0.000E+00       2.263E-03      4.267E-03
8250.00    8251.00    8251.00     1.000E+01     1.057E-01     1.295E-08      0.000E+00      0.000E+00        0.000E+00       2.264E-03      4.267E-03
8300.00    8301.00    8301.00     1.000E+01     1.070E-01     1.279E-08      0.000E+00      0.000E+00        0.000E+00       2.264E-03      4.267E-03
8350.00    8351.00    8351.00     1.000E+01     1.083E-01     1.264E-08      0.000E+00      0.000E+00        0.000E+00       2.264E-03      4.267E-03
8400.00    8401.00    8401.00     1.000E+01     1.097E-01     1.249E-08      0.000E+00      0.000E+00        0.000E+00       2.264E-03      4.267E-03
8450.00    8451.00    8451.00     1.000E+01     1.110E-01     1.234E-08      0.000E+00      0.000E+00        0.000E+00       2.265E-03      4.267E-03
