Mv1      lamL   xs_14TeV    xs_lim_36.1(fb)    xs_lim_100(fb)    xs_lim_3000(fb)
250.0    6.00       39.85          73.66             44.26             8.08
250.0    7.00       54.11          73.99             44.46             8.12
250.0    8.00       70.73          77.14             46.35             8.46
250.0    9.00       89.61          67.89             40.79             7.45
250.0    10.00       110.56          76.34             45.87             8.37
250.0    11.00       133.87          81.81             49.16             8.97
250.0    12.00       159.18          77.55             46.59             8.51
260.0    1.00       0.91          66.89             40.19             7.34
260.0    2.00       3.62          68.97             41.44             7.57
260.0    3.00       8.13          64.74             38.90             7.10
260.0    4.00       14.48          66.97             40.24             7.35
260.0    5.00       22.62          62.69             37.67             6.88
260.0    6.00       32.54          65.73             39.49             7.21
260.0    7.00       44.28          77.74             46.71             8.53
260.0    8.00       57.85          69.43             41.71             7.62
260.0    9.00       73.18          67.98             40.85             7.46
260.0    10.00       90.37          70.52             42.37             7.74
260.0    11.00       109.47          75.14             45.14             8.24
260.0    12.00       130.39          82.43             49.53             9.04
270.0    1.00       0.75          69.57             41.80             7.63
270.0    2.00       2.99          66.55             39.99             7.30
270.0    3.00       6.70          66.85             40.17             7.33
270.0    4.00       11.91          72.52             43.57             7.95
270.0    5.00       18.64          65.57             39.40             7.19
270.0    6.00       26.81          68.73             41.29             7.54
270.0    7.00       36.51          73.09             43.91             8.02
270.0    8.00       47.70          81.76             49.12             8.97
270.0    9.00       60.35          68.14             40.94             7.48
270.0    10.00       74.52          71.26             42.81             7.82
270.0    11.00       90.17          74.65             44.85             8.19
270.0    12.00       107.38          76.33             45.86             8.37
280.0    1.00       0.62          74.02             44.47             8.12
280.0    2.00       2.47          67.54             40.58             7.41
280.0    3.00       5.55          63.14             37.93             6.93
280.0    4.00       9.87          64.64             38.84             7.09
280.0    5.00       15.42          72.51             43.56             7.95
280.0    6.00       22.22          68.09             40.91             7.47
280.0    7.00       30.21          69.78             41.93             7.65
280.0    8.00       39.52          78.97             47.45             8.66
280.0    9.00       49.95          71.94             43.22             7.89
280.0    10.00       61.77          67.53             40.57             7.41
280.0    11.00       74.66          72.04             43.29             7.90
280.0    12.00       88.87          75.09             45.12             8.24
290.0    1.00       0.51          67.38             40.48             7.39
290.0    2.00       2.06          65.47             39.34             7.18
290.0    3.00       4.63          66.94             40.22             7.34
290.0    4.00       8.22          68.80             41.34             7.55
290.0    5.00       12.87          70.00             42.06             7.68
290.0    6.00       18.52          63.47             38.13             6.96
290.0    7.00       25.16          65.84             39.56             7.22
290.0    8.00       32.86          76.75             46.11             8.42
290.0    9.00       41.60          67.13             40.33             7.36
290.0    10.00       51.42          76.71             46.09             8.41
290.0    11.00       62.15          66.39             39.89             7.28
290.0    12.00       73.98          69.19             41.57             7.59
300.0    1.00       0.43          65.59             39.41             7.20
300.0    2.00       1.72          63.07             37.89             6.92
300.0    3.00       3.87          70.38             42.29             7.72
300.0    4.00       6.87          67.38             40.48             7.39
300.0    5.00       10.76          64.47             38.74             7.07
300.0    6.00       15.48          61.69             37.07             6.77
300.0    7.00       21.07          64.58             38.80             7.08
300.0    8.00       27.51          64.61             38.82             7.09
300.0    9.00       34.82          69.62             41.83             7.64
300.0    10.00       42.98          67.48             40.54             7.40
300.0    11.00       52.05          68.68             41.27             7.53
300.0    12.00       61.91          66.59             40.01             7.31
310.0    1.00       0.36          60.12             36.12             6.59
310.0    2.00       1.45          65.42             39.31             7.18
310.0    3.00       3.25          64.84             38.96             7.11
310.0    4.00       5.79          58.12             34.92             6.38
310.0    5.00       9.04          67.81             40.74             7.44
310.0    6.00       13.02          64.18             38.56             7.04
310.0    7.00       17.70          63.18             37.96             6.93
310.0    8.00       23.14          62.70             37.67             6.88
310.0    9.00       29.29          65.68             39.46             7.20
310.0    10.00       36.14          65.98             39.64             7.24
310.0    11.00       43.77          66.56             39.99             7.30
310.0    12.00       52.10          61.56             36.99             6.75
320.0    1.00       0.31          62.27             37.42             6.83
